steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561198833552445,43,6,786,786,786,2023-05-03 06:39:44,137702657,schinese,可以到处拾荒,2023-05-03 06:40:16,2023-05-03 06:40:16,True,0,0,0,0,True,False,False,True,,6,False,,
76561198214611227,70,2,19285,4142,19285,2023-05-03 05:09:06,137699089,tchinese,整整一個月都奉獻給了巫師，喝勝。,2023-05-03 05:11:47,2023-05-03 05:11:47,True,0,0,0,0,True,False,False,True,,16,False,,
76561199093037884,9,3,1064,68,1064,2023-05-03 00:18:50,137685209,schinese,不错，很经典的游戏，值得长期拥有，很耐玩,2023-05-03 00:19:46,2023-05-03 00:19:46,True,0,0,0,0,True,False,False,True,,20,False,,
76561198290228872,97,9,778,139,778,2023-05-03 00:15:42,137684648,schinese,排得上号的RPG里有这么死妈的动作、战斗系统的真是少见,2023-05-03 00:08:18,2023-05-03 00:20:06,True,0,0,0,0,True,False,False,True,,27,True,,
76561198966107603,32,12,8791,4026,8791,2023-05-02 23:17:47,137682716,schinese,二周目通关，人物最终91级，血与酒开突变后选择刺骨，穿狮鹫套，除了牌全任务达成，最后与叶美满结局。游戏画面在光追下更加完善，这也是促使我打二周目的动力。欧美RPG的巅峰之作，绝对值得一试！,2023-05-02 23:26:44,2023-05-02 23:26:44,True,0,0,0,0,True,False,False,True,,94,False,,
76561199101699415,10,1,12315,3238,12238,2023-05-03 01:16:17,137682588,schinese,非常棒的一款游戏,2023-05-02 23:23:40,2023-05-02 23:23:40,True,0,0,0,0,True,False,False,True,,8,False,,
76561198798776567,13,2,2569,1116,2359,2023-05-03 03:35:18,137680886,schinese,除了昆特牌玩法，其他我都很满意;,2023-05-02 22:46:43,2023-05-02 22:46:43,True,0,0,0,0,True,False,False,True,,16,False,,
76561198107487509,142,12,7774,0,7774,2018-06-01 19:42:24,137680174,schinese,还是爽的，从盗版过来补票的，认认真真玩一遍竟然去开了另一个游戏昆塔牌。我是正版走的风灵大神，主打看剧情，希望还会有下一部。,2023-05-02 22:30:33,2023-05-02 22:30:33,True,0,0,0,0,True,False,False,True,,61,False,,
76561199315891019,11,2,3371,310,3371,2023-05-02 00:58:58,137679609,schinese,1,2023-05-02 22:17:36,2023-05-02 22:17:36,True,0,0,0,0,True,False,False,True,,1,False,,
76561199257633428,11,2,949,949,517,2023-05-03 06:29:21,137678820,schinese,以前玩过盗版的对这游戏印象深刻 这次补个车票从新回味一次,2023-05-02 22:02:18,2023-05-02 22:02:18,True,0,0,0,0,True,False,False,True,,28,False,,
76561198185126371,54,12,1649,1649,1440,2023-05-03 00:57:25,137675773,schinese,引人入胜，沉浸感极强，玩法剧情极其丰富不输荒野大镖客2等大作，牛逼就完事了,2023-05-02 21:12:02,2023-05-02 21:12:02,True,0,0,0,0,True,False,False,True,,37,False,,
76561199411519384,12,4,4848,4848,4848,2023-05-02 21:06:24,137675664,schinese,所有任务都很有意思，马不停蹄的清任务，一晃一下午就过去了,2023-05-02 21:09:14,2023-05-02 21:09:14,True,0,0,0,0,True,False,False,True,,28,False,,
76561198865662692,10,4,2545,1545,2542,2023-05-02 20:29:31,137673835,schinese,我真的好爱特丽丝但是我也好爱叶奈法但是我也好爱我的女儿希里但是我也好爱我的炮友凯拉导致我无法选择,2023-05-02 20:24:52,2023-05-02 20:24:52,True,0,0,0,0,True,False,False,True,,48,False,,
76561198088585389,6,1,2030,899,1830,2023-05-02 23:37:27,137673500,schinese,很好玩的游戏啊，能玩好久,2023-05-02 20:16:00,2023-05-02 20:16:00,True,0,0,0,0,True,False,False,True,,12,False,,
76561198239830008,103,18,11124,4658,11124,2023-05-02 19:52:31,137673231,tchinese,斷斷續續玩了這麼久終於通關了,2023-05-02 20:08:31,2023-05-02 20:08:31,True,0,0,0,0,True,False,False,True,,14,False,,
76561199465758639,7,1,2229,800,2168,2023-05-02 20:37:05,137670516,schinese,非常不错,2023-05-02 19:06:24,2023-05-02 19:06:24,True,0,0,0,0,True,False,False,True,,4,False,,
76561198260094692,393,5,7138,2139,7138,2023-05-02 17:37:02,137669053,schinese,通关了俩DLC才来评论，真的很好，满分，只是我DLC是为了通关才游玩了，以后有时间得慢慢欣赏的态度再玩一遍,2023-05-02 18:33:19,2023-05-02 18:33:19,True,0,0,0,0,False,False,False,True,,53,False,,
76561199495962719,3,1,1672,1672,1443,2023-05-02 23:28:30,137668539,schinese,真是个神作。你不买想尼玛呢，速冲，,2023-05-02 18:15:55,2023-05-02 18:15:55,True,0,0,0,0,True,False,False,True,,17,False,,
76561198892907076,7,1,2459,2008,2459,2023-05-02 18:06:35,137668268,schinese,每天下班之后玩的不亦乐乎，真心经典的游戏,2023-05-02 18:07:20,2023-05-02 18:07:20,True,0,0,0,0,True,False,False,True,,20,False,,
76561198800737805,53,1,10468,0,10468,2023-04-03 02:15:43,137668160,schinese,刚开始玩容易玩不进去，出新手村就好了，还是很好玩的。,2023-05-02 18:03:44,2023-05-02 18:03:44,True,0,0,0,0,True,False,False,True,,26,False,,
76561198450731339,10,2,6824,931,6824,2023-05-01 13:00:45,137666737,schinese,战斗也许会落伍，但你讲的故事一直精彩啊！,2023-05-02 17:16:36,2023-05-02 17:16:36,True,0,0,0,0,True,False,False,True,,20,False,,
76561198403820031,5,3,1866,282,1584,2023-05-03 04:46:17,137666598,schinese,nb,2023-05-02 17:12:16,2023-05-02 17:12:16,True,0,0,0,0,True,False,False,True,,2,False,,
76561199147709870,9,1,304,304,304,2023-04-26 22:44:49,137665679,schinese,剧情确实不错;,2023-05-02 16:41:12,2023-05-02 16:41:12,True,0,0,0,0,True,False,False,True,,7,False,,
76561199123105257,25,1,2987,919,2867,2023-05-02 18:34:06,137665475,schinese,666,2023-05-02 16:33:43,2023-05-02 16:33:43,True,0,0,0,0,False,False,False,True,,3,False,,
76561198121144880,47,1,9937,680,9576,2023-05-02 23:17:53,137665218,schinese,I like this game,2023-05-02 16:24:21,2023-05-02 16:24:21,True,0,0,0,0,True,False,False,True,,16,False,,
76561198886009652,25,8,2994,2994,2994,2023-05-01 21:07:28,137664962,schinese,good,2023-05-02 16:14:56,2023-05-02 16:14:56,True,0,0,0,0,True,False,False,True,,4,False,,
76561198973420830,9,2,4336,59,4336,2023-04-25 23:00:12,137664652,schinese,在中世纪的奇幻世界里黄赌毒，真是太浪漫啦,2023-05-02 16:02:54,2023-05-02 16:02:54,True,0,0,0,0,True,False,False,True,,20,False,,
76561199185759549,30,1,3921,3921,3485,2023-05-03 02:19:59,137663654,schinese,剧情设计太精妙了，非常喜欢。昆特牌休闲又令人上瘾，无数人物的小细节非常非常打动我,2023-05-02 15:26:01,2023-05-02 15:26:01,True,0,0,0,0,True,False,False,True,,40,False,,
76561199280466679,3,1,309,309,204,2023-05-02 21:13:37,137663644,schinese,热非导体,2023-05-02 15:25:41,2023-05-02 15:25:41,True,0,0,0,0,True,False,False,True,,4,False,,
76561198233394416,51,2,1132,1053,667,2023-05-03 00:38:51,137659606,schinese,泰裤啦,2023-05-02 12:58:08,2023-05-02 12:58:08,True,0,0,0,0,True,False,False,True,,3,False,,
76561198108605800,23,1,613,613,318,2023-05-02 23:58:21,137655891,schinese,比较有趣,2023-05-02 10:56:21,2023-05-02 10:56:21,True,0,0,0,0,True,False,False,True,,4,False,,
76561198977333966,6,1,4243,522,3909,2023-05-03 00:18:47,137654943,schinese,喜欢这种风格的游戏,2023-05-02 10:29:35,2023-05-02 10:29:35,True,0,0,0,0,True,False,False,True,,9,False,,
76561199422739726,17,8,504,0,504,2023-04-09 17:00:43,137654040,schinese,点赞并不会对你有什么影响，只是想整点点数，买个涩涩头像,2023-05-02 10:03:38,2023-05-02 10:03:38,True,0,0,0,0,True,False,False,True,,27,False,,
76561198345433427,333,53,5873,2924,5873,2023-05-02 00:34:56,137651729,schinese,玩完血与酒以后真的有一种陪伴杰洛特走完了一生的感觉。;看着征伐了一生的白狼，拥有了自己的庄园，白天陪着叶奈法在躺椅上晒太阳，晚上在独角兽的注视下和心爱的女人同床共枕；女儿成功摆脱了狂猎和权力的束缚，自由地在广阔的天地间旅行冒险。;在童话般的城市里享受着童话般的生活，这样的结局实在是没有什么可以挑剔的了。,2023-05-02 09:02:57,2023-05-02 09:02:57,True,1,0,0.523809552192687988,0,True,False,False,True,,152,False,,
76561198165780531,203,59,285,0,285,2022-05-26 01:52:19,137649657,schinese,时隔三年补票，特意来评论一下游戏内容;;cdpr的成名之作，但并不适合每个人。官方的对待职业昆特牌国人玩家的态度让人堪忧;;也许落后的游戏画面和糟糕的战斗系统让人难以上手。开放式世界的斩妖除魔罐头在当时确实十分美味。一大堆支线让角色的性格可以被玩家塑造，主线的关键选择也会被记录下来作为结局的内容。;;买小说比买游戏更好一些。小说会拥有比游戏更有趣的剧情，更完整的设定，和白狼的人生经历.(虽然游戏可以通过选择获得不同的剧情体验，但我本人觉得书籍更有趣);;对了一定要听听"The Wolven Storm"，这首歌太棒了.,2023-05-02 08:04:11,2023-05-02 08:07:18,True,0,0,0,0,True,False,False,True,,262,True,,
76561198162760975,66,2,4796,2172,4796,2023-05-02 04:21:08,137640524,schinese,很好，要结束了不停卡死,2023-05-02 04:21:32,2023-05-02 04:21:32,False,0,0,0,0,True,False,False,True,,11,False,,
76561198433495296,15,2,8400,5778,7947,2023-05-03 06:42:17,137636570,schinese,真是精彩至极，谁又不想成为杰洛特这般的男人呢？完全值得你自己去游戏里跟着主角白狼一起去经历一次这样史诗般的道路，推荐一定要买dlc血与酒。,2023-05-02 03:03:42,2023-05-02 03:03:42,True,0,0,0,0,True,False,False,True,,69,False,,
76561199140717339,12,5,13842,1703,13842,2023-05-01 15:38:42,137635744,schinese,我买到了一个世界。;;,2023-05-02 02:47:56,2023-05-02 02:47:56,True,0,0,0,0,True,False,False,True,,11,False,,
76561199328841261,56,8,5387,3104,5345,2023-05-02 18:44:37,137622436,schinese,nb,2023-05-01 23:17:31,2023-05-01 23:17:31,True,0,0,0,0,True,False,False,True,,2,False,,
76561199152728891,96,17,6764,1841,6764,2023-04-28 23:33:31,137622356,schinese,便宜，限时原价，制作精良！;一周目是无情打桩机，三人探戈懂的都懂 （=v=）,2023-05-01 23:16:07,2023-05-01 23:16:07,True,0,0,0,0,True,False,False,True,,38,False,,
76561199212656530,13,3,1764,123,1670,2023-05-02 00:20:39,137622204,schinese,HAO,2023-05-01 23:13:30,2023-05-01 23:13:30,True,0,0,0,0,True,False,False,True,,3,False,,
76561199346235852,20,3,6886,6886,5949,2023-05-03 02:43:10,137620510,schinese,mlgb的真tm好玩，代入了,2023-05-01 22:41:32,2023-05-01 22:41:32,True,0,0,0,0,True,False,False,True,,14,False,,
76561199041212031,13,5,2131,1175,1869,2023-05-02 22:01:50,137619908,schinese,好玩，太好玩了以至于已经在想二周目怎么选回答了。很喜欢清问号清支线，逛街路上随机遭遇也设计得很好，要是随机遭遇触发也能标记出来就能更愉快地逛街了。虽然到现在还没出威伦...战斗方面：感谢杰洛特自动瞄准！（流点汗）玩了一段时间熟悉手感了之后，觉得战斗还是很轻松上手的，无脑xy闪避+法印。剧情时常能让人叹一口气。,2023-05-01 22:31:01,2023-05-01 22:31:01,True,0,0,0,0,True,False,False,True,,155,False,,
76561198804555421,14,3,7639,17,7621,2023-05-02 03:00:00,137618618,schinese,非常娱乐休闲！,2023-05-01 22:06:57,2023-05-01 22:06:57,True,0,0,0,0,True,False,False,True,,7,False,,
76561198415706808,88,5,11703,0,11703,2023-02-16 04:03:16,137618110,tchinese,遊戲可以不僅僅是一項消磨時間的娛樂，;巫師3裡的每個勢力與人物都被塑造出了獨立的個性，;他們有自己的價值觀與生長背景，;主角不再是永遠正義的一方，;玩家也不再能用上帝視角看清事情的原委，;主角與其他人物之間人生觀的碰撞、對大義的不同理解使我們深思:;是否這世上真的沒有壞人，只有很壞的情況。;;我曾在一段支線的一處對話選項上躊躇，;10分鐘後決定離開座位，;小酌幾口並讓自己冷靜下來，;我當然可以選擇讀檔並看完每個選項的後續發展，;但當下的氛圍驅使我設身處地的以他的立場思考，;試著在那個時代背景下做出客觀的抉擇，;約莫半小時後我才做出一個免強的決定，;而這類支線在巫師3中不勝枚舉。;;巫師3當使我們正視遊戲的藝術價值及哲學價值，;它們的細節與深刻程度確實不亞於文學作品。,2023-05-01 21:57:12,2023-05-01 21:57:12,True,0,0,0,0,True,False,False,True,,337,False,,
76561199204361792,4,2,73,0,73,2021-09-18 20:39:59,137616935,schinese,啊啊啊啊啊啊啊,2023-05-01 21:34:40,2023-05-01 21:34:40,True,0,0,0,0,False,False,False,True,,7,False,,
76561199219468209,18,6,507,0,507,2023-04-14 22:36:50,137614232,schinese,叶奈法真美,2023-05-01 20:38:17,2023-05-01 20:38:17,True,0,0,0,0,True,False,False,True,,5,False,,
76561199244838097,61,28,17,0,17,2023-03-19 18:05:49,137612762,schinese,666,2023-05-01 20:06:57,2023-05-01 20:06:57,True,0,0,0,0,True,False,False,True,,3,False,,
76561198101141988,54,19,991,865,764,2023-05-02 13:01:08,137609220,schinese,经典,2023-05-01 18:43:59,2023-05-01 18:43:59,True,0,0,0,0,True,False,False,True,,2,False,,
76561199033831910,4,2,2257,1545,2257,2023-05-01 00:44:17,137608395,schinese,不错,2023-05-01 18:23:32,2023-05-01 18:23:32,True,0,0,0,0,True,False,False,True,,2,False,,
76561199396438827,75,35,38,0,38,2023-02-20 23:11:03,137607838,schinese,不是我喜欢的类型，并不代表游戏不行。放库里 说不定哪天就想换风格,2023-05-01 18:09:29,2023-05-01 18:09:29,True,2,0,0.545454561710357666,0,True,False,False,True,,32,False,,
76561199022581281,33,4,4209,3395,4209,2023-05-01 17:58:02,137607610,schinese,我真的心态炸了，能不能做好dlc优化，加了dlc，游戏老是崩，刚刚游戏崩溃了一下，上线发现70几个小时的档全没了，rnm艹这游戏不会在玩了，看解说视频去,2023-05-01 18:04:27,2023-05-01 18:04:27,False,0,0,0,0,True,False,False,True,,76,False,,
76561199208859432,5,1,725,725,376,2023-05-01 22:54:49,137605218,schinese,good,2023-05-01 17:06:35,2023-05-01 17:06:35,True,0,0,0,0,True,False,False,True,,4,False,,
76561198079935469,24,5,9238,864,9195,2023-05-01 17:21:45,137603834,schinese,为什么我rtx4070无法dx12游戏？一开始就是检查steam游戏的完整性，检查了完整也不行？只能dx11游戏。,2023-05-01 16:30:40,2023-05-01 16:31:13,True,0,0,0,0,True,False,False,True,,57,True,,
