steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561198321412600,226,15,1584,1584,1341,2023-05-03 03:25:08,137673647,schinese,密教模拟器(x);007社畜打工模拟器(√);桌面整理模拟器(√);;前期试错作死探索的时候最欢乐，中后期得重复下副本入梦刷有点坐牢，主要是刷的过程纯看脸，也不会发生什么随机事件比较无聊。多周目躲不掉的重复积累过程让坐牢感更明显了。;明明手下教徒各类人材十几号，却只能让教主搬砖水论文赚钱供教徒全世界旅游这河里吗,2023-05-02 20:19:38,2023-05-02 20:19:38,False,1,0,0.523809552192687988,0,False,False,False,True,,156,False,,
76561199091909357,104,5,5291,910,5006,2023-05-02 19:28:05,137594231,schinese,剧情丰富，体验不错，但是开局内容重复。有时候很看运气,2023-05-01 11:34:37,2023-05-01 11:34:37,True,0,0,0,0,True,False,False,True,,26,False,,
76561199349733811,2,1,1950,270,1829,2023-05-02 00:30:16,137562487,schinese,给朋友推荐了这个游戏，他比我更喜欢玩这个游戏,2023-05-01 00:36:17,2023-05-01 00:36:17,True,0,0,0,0,True,False,False,True,,22,False,,
76561199074719618,39,6,5152,29,5123,2023-04-30 10:56:24,137523939,schinese,我是傻逼,2023-04-30 10:22:55,2023-04-30 10:22:55,True,0,0,0,0,True,False,False,True,,4,False,,
76561199058723580,75,23,389,38,351,2023-04-28 20:17:10,137415914,schinese,你就算管了数十人，最后你也只是在收拾桌子,2023-04-28 19:33:54,2023-04-28 19:33:54,True,1,0,0.52173912525177002,0,True,False,False,True,,20,False,,
76561198377638527,134,56,450,0,450,2023-04-15 19:34:51,137368764,schinese,让人怀疑人生，怀疑现实世界的游戏，慎玩。,2023-04-27 21:12:56,2023-04-27 21:12:56,True,0,0,0.48245614767074585,0,False,False,False,True,,20,False,,
76561198273315136,116,2,4678,1290,4557,2023-04-28 00:01:45,137363015,schinese,一款杀时间，电波系的rogue向卡牌游戏，推荐给有足够时间且对神秘学有些许兴趣的玩家;虽然是一款以类克苏鲁风格为背景做世界观的游戏，但其游戏本身并无任何类克苏鲁风格的恐怖元素 [strike] 可以放心大胆挖掘游戏内秘史设定并入迷 [/strike];游戏中最关键且有趣的部分在于探索，这一过程在对游戏了解越少的时候是越有趣的，但也因为对游戏了解不足，极其容易出现反复bed end的情况，需要足够的耐心与兴趣支撑 [spoiler] 或者可以去问万能的wiki [/spoiler] [spoiler] 毕竟游戏内几乎没有任何形式的引导 [/spoiler];一些不涉及游戏内剧透的小技巧，如果你刚刚游玩这款游戏，且总是莫名其妙的bed end导致没办法继续进行游戏不妨点开看看;[spoiler] 1.游戏内所有卡牌与卡槽都具有属于自己的“性相”拥有与卡槽相同性相的卡牌才能放进卡槽，如果你不知道自己能做什么，不妨看看有哪些卡槽的性相与手牌相同 [/spoiler];[spoiler] 2.游戏内部分卡牌具有时限，如果你想用这些有时限的卡去做某些事但时间来不及，不妨把它拖进可用的卡槽中，开着卡槽界面继续游戏试试 [/spoiler];[spoiler] 3.如果你因为一些操作失误而出现和原本预期大相径庭的结果，不妨试试ctrl+~，这是游戏内置的工作台，你甚至可以用它作弊（不推荐，这会失去游戏内很大一部分的乐趣） [/spoiler],2023-04-27 18:13:32,2023-04-27 18:13:32,True,0,0,0,0,True,False,False,True,,623,False,,
76561199120809757,8,1,1644,35,1644,2023-04-27 16:36:47,137360608,schinese,游玩门槛高，很长一段世界才能玩懂，刚开始玩几乎泡在维基百科里看攻略，但非常有趣！设定庞大，需要慢慢体会这光怪陆离的世界观！,2023-04-27 16:39:47,2023-04-27 16:39:47,True,0,0,0,0,True,False,False,True,,61,False,,
76561198203313065,124,7,188,37,188,2023-04-26 00:07:53,137321165,schinese,学会拖动卡牌上班了吧？很好，接下来试着飞升吧！,2023-04-26 21:07:15,2023-04-26 21:07:15,True,1,0,0,1,False,False,False,True,,23,False,,
76561198101466447,638,25,2718,667,2339,2023-04-25 23:21:23,137224097,schinese,这类值得深入研究的游戏真的不多,2023-04-24 20:51:47,2023-04-24 20:51:47,True,0,0,0,0,True,False,False,True,,15,False,,
