word,count
密教模拟器,8
007社畜打工模拟器,1
桌面,11
整理,5
模拟器,27
前期,22
作死,1
探索,44
时候,25
欢乐,2
后期,22
重复,32
副本,3
入梦,7
有点,13
坐牢,3
主要,5
过程,21
不会,20
发生,3
随机,5
事件,7
比较,19
无聊,3
周目,4
积累,1
坐牢感,1
明显,4
明明,1
手下,1
教徒,15
各类,2
人材,1
十几号,1
只能,12
教主,30
搬砖,3
论文,3
赚钱,6
全世界,1
旅游,1
河里,1
剧情,11
丰富,13
体验,25
不错,7
但是,54
开局,20
内容,32
有时候,3
运气,1
朋友,2
推荐,32
更喜欢,1
傻逼,7
就算,5
数十,1
最后,16
只是,13
收拾,1
桌子,10
怀疑,4
人生,6
现实,8
世界,29
，慎,1
一款,15
时间,43
电波,1
rogue,2
卡牌游戏，,1
足够,8
神秘学,16
些许,2
兴趣,3
玩家,53
虽然,17
类克苏鲁风格,1
背景,14
世界观,22
本身,17
并无,1
任何,8
克苏鲁,12
风格,15
恐怖元素 ,1
strike,14
可以,54
放心,1
大胆,1
挖掘,3
秘史,2
设定,25
并入,1
迷 ,1
关键,1
有趣,17
部分,22
在于,4
了解,9
因为,23
不足,3
极其,8
容易,9
出现,4
反复,4
bed end,2
情况,6
需要,42
耐心,15
支撑,2
 [spoiler] ,1
或者,20
万能,1
wiki [/spoiler] [spoiler] ,1
毕竟,7
几乎,11
没有,53
形式,5
引导,30
spoiler,30
一些,19
涉及,1
剧透,2
小技巧,2
刚刚,2
游玩,16
这款,7
总是,6
莫名其妙,3
导致,15
没办法,2
继续,6
进行,12
看看,9
所有,7
卡牌,59
具有,3
属于自己,2
“性,1
相”,1
拥有,5
相同,2
性相,2
才能,15
卡槽，,1
不知道,21
自己,56
哪些,1
 2,1
时限,1
这些,16
有时限,1
某些,5
来不及,1
可用,1
，开,1
界面,3
试试 ,1
 3,1
操作,19
失误,1
原本,3
预期,1
大相径庭,1
结果,15
试试,1
ctrl+,1
内置,1
工作台,1
甚至,16
作弊,2
失去,6
很大,4
一部分,4
乐趣,11
） ,1
门槛,1
高，,5
一段,1
，刚开始,1
维基百科,1
攻略,26
非常,64
庞大，,1
慢慢,7
体会,3
光怪陆离,1
观！,2
学会,2
拖动,1
上班,8
很好,7
接下来,2
飞升吧！,1
值得,8
深入,2
研究,10
优点,7
极为,4
优秀,13
本地化,2
文本,59
宏大,2
诡谲,2
神秘,22
学世界，,1
探索感,1
缺点,12
中后期,3
重复度,5
流程,15
晦涩,10
不过,19
这一点,5
算是,2
代入感,3
负面,1
效应,1
），,16
过长，,1
方便,3
路线,2
并且,5
节点,1
起来,12
疲惫,3
28h,1
小胜（,1
当时,3
启教,2
所以,14
二周目,4
下去,6
气）,1
铸教,2
小胜、,1
大胜,5
三个,4
结局,25
现在,8
已经,22
完全,23
中途,1
想着,2
一次,13
累死,1
阅读,8
排斥,1
学感兴趣,3
建议,17
入手,10
新手,54
不懂,3
教学,1
估计,2
懵，,2
一段时间,3
之后,20
wiki，挺,1
笔记本,1
屏幕,3
痛苦,8
一直,19
也有,8
大屏幕,1
就好,5
TAT,1
购买,4
上手,19
熟悉,7
好玩,91
上头,8
策略,2
唯一,4
谜，,1
教程,29
一把,5
很久,7
特别,8
拉三维，招人和买书要很久，,1
上瘾,4
还有,13
各种各样,1
成就,12
为了,7
故意,2
几把,2
基本,9
就会,6
不容易,4
有些,12
失败,7
解锁,1
长时间,3
除了,4
基础,3
几个,14
一点,6
，DLC,2
拓展,2
玩法,35
麻烦,5
浪费时间,1
打折,6
五折,1
六折,1
原价,1
感觉,26
贵，,1
要买,1
DLC,7
平淡,2
增加,6
其他,9
飞升,56
方式,14
特定,2
故事,17
各种,16
实在,11
做成,4
屈尊,1
合成,7
秘传,4
属性,4
那样,1
套路,2
都是,16
固定,3
展开,2
写成,2
小说,5
，洋人修仙,1
传，,1
单调,2
枯燥,6
内核,1
寓意,2
无穷，,1
每一步,2
果肉,1
饱含,2
可能性,3
涉密,1
教主们,1
能够,5
得知,2
下一步,2
不断,5
尝试,10
掌握,2
其中,5
奥妙,1
味。,1
独特,8
精致,3
创意,7
深度,4
翻译,20
精巧,1
生计,1
普通,3
打工仔,1
一步步,1
秘闻，成立密教，,1
培养,2
信徒,5
仪式，,1
最终,6
提供,3
8种,1
各不相同,2
以及,17
多种,1
胜利,6
足以,1
每次,5
美中不足,1
很多,16
開局,1
正常,4
結局,2
，認,1
工作,13
，安穩,1
一生,2
，這,1
遊戲,8
難。,1
麼，,1
什麼驅,1
追求,8
超凡,2
飛升之路？,1
遵循,1
慾望，,1
秘密,1
躲避,1
追緝，,1
提升,5
自我,2
直到,1
跨過,1
凡人,3
界線，這,1
密教模擬器,1
特別,1
主題。,1
困難,1
道路,3
，實際,1
沒有,6
路標，,1
新手教學，開局,1
直接,24
迷失,2
常有,1
常世,1
跌跌撞撞,1
也是,16
種遊戲體驗,1
樂趣。,1
氣氛,2
非常好,6
，圖畫,1
文字,19
設計,1
神祕感,1
，雖然美術,1
演出,1
相對,1
大多,2
到位,2
，一張,1
道盡,1
精彩,4
一定要,2
漫長,1
一局,4
長規結局,1
來到,2
10小時,1
，當,2
熟知,1
處世之道，後面,1
變化,1
不大,3
業感,1
好評，,1
精力,2
展開,1
另一次,1
求道,1
穿越,1
純白之門,1
消耗,3
體力,1
容器,1
疲勞，精神則,1
化為,1
評論,1
這裡。,1
一个人,2
通关,10
异教徒模拟器，,1
那么,7
应该,12
度过,2
略带,1
遗憾,2
华丽,2
战斗,1
精美,1
画面,2
适合,10
喜欢,27
绝对,6
打发,1
不二,2
召异,1
神，逐忌宝。奉信条，创密教。,1
组成,1
手上,1
 （,2
卑贱,2
（理性）,1
两个,5
选择,6
卡池,1
投掷,1
从事,1
」，,3
 「健康」，,1
陷入,1
疾病,2
威胁,1
投入,1
「理性」，,1
找到,3
一份,3
轻松,2
文职,1
一不小心,2
 996 ,1
社畜。,1
不是,31
完美,7
选项,2
，何况,1
金钱,1
还会,2
时刻,3
随着,4
流逝,4
这个世界,2
最大,7
意外,5
来自,3
密教,22
章，,1
密语,1
艰涩,1
万分,1
即使,4
看懂,2
里面,9
神异,1
开始,16
扰乱,1
思维,1
教义,2
仪式,9
传说,2
神明,3
低语,1
恐惧,16
情绪,1
主宰,1
精神,3
不得不到,1
书店,1
拍卖行,1
寻找,2
更多,5
