index,achievement_name,achievement_desc,achievement_percentage
1,Water Is Sink,Complete the lake.,53.5%,
2,Cog Is Push,Complete the solitary isle.,26.3%,
3,Box Has Key,Complete the ruins.,20.0%,
4,Leaf Is Move,Complete the forest of fall.,13.5%,
5,Tree Is Shift,Complete the forest.,9.1%,
6,Baba Is End,Beat the game.,8.2%,
7,Rocket Is Dust,Complete the space area.,6.8%,
8,Orb Is Bonus,,5.6%,
9,Baba Is More,Complete the abstract area.,5.6%,
10,Hedge Is Stop,Complete the garden.,5.4%,
11,Lava Is Hot,Complete the cavern.,5.0%,
12,Bird Is Float,Complete the mountain.,4.8%,
13,Baba Is All,Complete the world map.,4.0%,
14,B A B A,,3.9%,
15,The End,,3.1%,
16,Not Baba,,2.9%,
17,Baba Is Baba,,2.8%,
