steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,top10_games,top3_game_tags,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561198843482136,1764,265,229,229,229,2023-05-03 21:13:58,Total War: WARHAMMER III(9.8h/9.8h);栖云异梦(9.4h/9.4h);CLANNAD(7.6h/46h);孟德大小姐与自爆少年(5.8h/5.8h);Iwaihime(5.7h/5.7h);Thriving City: Song(5.3h/6.1h);Aces and Adventures(4.1h/4.1h);Antrabhara(4.0h/4.0h);Survival: Fountain of Youth(3.9h/3.9h);Baba Is You(3.8h/3.8h),Early Access;Strategy;Turn-Based Strategy;Grand Strategy;RTS;Fantasy;Real Time Tactics;Dark Fantasy;War;Action;Tactical;Atmospheric;Colorful;Multiplayer;Games Workshop;PvP;Co-op;Story Rich;Singleplayer;Online Co-OpPuzzle;Point & Click;Story Rich;Drama;Exploration;Mystery;Immersive Sim;2D;Casual;Detective;Singleplayer;RPG;Fantasy;Indie;Atmospheric;Adventure;Visual Novel;Interactive Fiction;Stylized;EmotionalVisual Novel;Anime;Story Rich;Romance;Drama;Great Soundtrack;Multiple Endings;Classic;Singleplayer;Dating Sim;Choices Matter;Cute;Emotional;Atmospheric;Casual;Comedy;Adventure;Family Friendly;2D;KickstarterHistorical;Visual Novel;Story Rich;RPG;Emotional;Interactive Fiction;Romance;CRPG;Word Game;Dating Sim;Clicker;2D;Text-Based;Alternate History;Linear;Simulation;Drama;Cinematic;Singleplayer;IndieVisual Novel;Anime;Psychological Horror;Adventure;Supernatural;Atmospheric;Horror;2D;Hand-drawn;Emotional;Mythology;Story Rich;Lovecraftian;Surreal;Thriller;Linear;Singleplayer;Dark;Simulation;PsychologicalEarly Access;Simulation;Strategy;Historical;City Builder;Resource Management;Casual;Drama;Strategy RPG;Quick-Time Events;Real Time Tactics;Building;Agriculture;Choices Matter;Base Building;Management;Inventory Management;Hand-drawn;Mining;EconomyDeckbuilding;Adventure;Strategy;Roguelite;Card Game;Atmospheric;Tactical RPG;Replay Value;Roguelike;Action Roguelike;3D;Strategy RPG;Fantasy;Combat;Card Battler;Trading Card Game;Dark;RPG;Crafting;MythologyAdventure;RPG;Interactive Fiction;Puzzle;Anime;Drama;Indie;Female Protagonist;Cartoon;Emotional;Detective;Supernatural;Singleplayer;Story Rich;2D;Top-Down;Cute;Fantasy;Mystery;CartoonyOpen World Survival Craft;Exploration;Survival;Realistic;Crafting;Adventure;Simulation;Building;Historical;Sailing;Puzzle;Immersive Sim;Underwater;Violent;Sandbox;Early Access;Base Building;Open World;Action-Adventure;SingleplayerPuzzle;Indie;Difficult;Singleplayer;Pixel Graphics;Logic;Cute;2D;Programming;Sokoban;Great Soundtrack;Minimalist;Casual;Level Editor;Top-Down;Retro;Atmospheric;Strategy;Funny;Souls-like,137735326,schinese,[h1]《Baba Is You》——好吧我放弃抵抗了，baby is me[/h1];;[h1]前言[/h1];;3A大作强在成熟的玩法，场面的宏大，它能在现有的内容里深挖，但论及创意，近年少有，而这正是独游的优势，也是其魅力所在。《Baba Is You》就是这样一款打破常规的益智解谜游戏。即便在那群堪称神作的解谜游戏中，《Baba Is You》也有独特的闪光点——解析规则，打破规则，构筑新规则，超越玩家想象。;;[h1]此“baba”非彼“爸爸”[/h1];;第一眼看到“Baba Is You”时，我的内心想法是“你客气了，我还小，当不得你爸”。不过正式游玩才发现我肤浅了，此“baba”非彼“爸爸”，其实它是游戏的精髓——定义。;;游玩任何游戏，第一步永远是弄清楚游戏规则，并且大多数情况下规则不会变动，最多加点补充说明。可是在《Baba Is You》中就刺激了，游戏赋予你的能力就是“定义规则”。Baba在游戏中是一只白色不明动物，“Baba Is You”的意思就是“你是这只动物，可以随意操作它移动”。游戏里还有其它的词汇，比如第一类名词有rock，flag等等，还有第二类动词stop，float等等这些简单易懂的英文单词（游戏里为了游戏性，不关注语法问题），随便挑出两个就能搭配成“rock is float”，它的意思是“石头会漂浮，地面上的物体可以通过”。这时候如果你想改变规则，可以用类似推箱子的方法，将“rock is float”替换成“rock is stop”或者“wall is float”，前者的意思是“石头不能移动”，后者则是“墙漂浮在空中”。玩家用自己的想法改变规则，最终达成目的，抵达胜利终点。;;值得一提的是，由于这种解谜方式极具开放性，许多关卡都有多种解谜思路，某些思路甚至能带来极大的惊喜，丰富了游戏的可玩性。;;[h1]总结[/h1];;一个简单的“定义”，几十个简单的单词，就能构成两百个颇具挑战性的谜题，这就是优秀解谜游戏最重要的优点——对单个机制的深挖，力求超越玩家想象，从而在谜底揭开时给玩家带来巨大的成就感。《Baba Is You》这一点做得很漂亮，所有对解谜游戏感兴趣的玩家都应该一试。;;[h1]————————————[/h1];[h1]欢迎关注或加入鉴赏家：游话好说。我们是一群游戏爱好者，希望能评测来帮助大家认识更多好游戏，期待您的同行！[/h1];[u]https://store.steampowered.com/curator/42228259[/u],2023-05-03 23:25:34,2023-05-03 23:25:34,True,2,0,0.54356849193572998,0,True,False,False,True,,1079,False,,
76561198908735797,49,11,786,786,331,2023-05-04 17:58:04,无游戏,无游戏,137677545,tchinese,Life is hard,2023-05-02 21:43:52,2023-05-02 21:43:52,True,0,0,0,0,True,False,False,True,,12,False,,
76561198964723340,43,4,165,165,165,2023-04-29 21:41:52,未公开,未公开,137624622,schinese,好玩，但是偏简单，等我变傻,2023-05-01 23:57:25,2023-05-01 23:57:25,True,0,0,0,0,False,False,False,True,,13,False,,
76561198181039239,168,4,138,138,138,2023-05-01 16:47:42,无游戏,无游戏,137604585,schinese,头好痒，可能要长脑子了,2023-05-01 16:50:09,2023-05-01 16:50:09,True,0,0,0,0,True,False,False,True,,11,False,,
76561198144310076,461,91,2108,2108,2108,2023-04-28 18:46:53,无游戏,无游戏,137472051,schinese,9/10;人类智慧之光。前有神迹，唯有跪拜一途。,2023-04-29 17:36:51,2023-04-29 17:36:51,True,0,0,0,0,True,False,False,True,,24,False,,
76561198979295690,41,7,378,378,278,2023-05-02 01:12:35,无游戏,无游戏,137464371,schinese,Baba is you. Stupid is me.,2023-04-29 14:06:10,2023-04-29 14:06:10,True,0,1,0,0,True,False,False,True,,26,False,,
76561199438539127,17,2,52,52,22,2023-05-04 12:17:57,无游戏,无游戏,137373665,schinese,在帕特里克的箱子无穷奇遇的评论区和相关视频看到这个游戏的，玩了一会发现我还是感觉steam的评价挺可靠的，baba is you难度曲线和机制引导的问题相比帕特里克来说确实差了很多，当然这并不妨碍有追求难度的玩家更偏向于这个游戏，这些问题或许并不是不能接受。,2023-04-27 23:07:27,2023-04-27 23:07:27,True,0,0,0,0,True,False,False,True,,129,False,,
76561198808688830,743,86,164,47,164,2023-04-27 20:03:08,无游戏,无游戏,137366351,schinese,game is good;fool is me,2023-04-27 20:04:40,2023-04-27 20:04:40,True,0,1,0,0,False,False,False,True,,23,False,,
76561198340794465,70,14,847,847,229,2023-05-03 16:41:00,无游戏,无游戏,137286910,tchinese,有意思,2023-04-26 01:53:19,2023-04-26 01:53:19,True,0,0,0,0,True,False,False,True,,3,False,,
76561198329454432,447,110,1645,984,1550,2023-04-25 23:57:03,无游戏,无游戏,137278032,schinese,神作，顶级的解密游戏。基本规则简单明了，推箱子+语句赋值的基本玩法，配合上十来个具备不同意义的单词，衍生出了繁杂多变的玩法和思路。解密过程中即考验玩家全局把控、顺序设计和逻辑思考的能力，也考验玩家打破常规、拓展思维的能力；多数谜题都设计的足够有趣，经常能思考几十分钟后突然顿悟、收获爆炸般的快感;除了音乐，其他方面设计的都相当完美，纯粹的逻辑解密好游戏,2023-04-25 22:40:50,2023-04-25 22:41:32,True,0,0,0,0,True,False,False,True,,176,True,,
