word,count
h1] 《Baba Is You,1
——,3
放弃,1
抵抗,1
，baby is me ,1
h1] 前言 [/h1,1
3A,1
作强,1
成熟,1
玩法,3
场面,1
宏大，,1
现有,1
内容,1
深挖,2
创意,2
近年,1
少有,1
正是,1
优势,1
也是,1
魅力,1
所在,1
Baba Is You,4
打破,3
常规,2
益智解谜游戏。,1
即便,1
堪称,1
神作,2
解谜,5
也有,1
独特,1
闪光点,1
解析,1
规则,11
，构筑,1
新规则,1
超越,2
玩家,9
想象,2
 此“baba,1
”非彼,1
爸爸,2
” ,1
第一眼,1
看到,2
“Baba Is You,1
内心,1
想法,2
客气,1
小，,1
不得,1
”。,4
不过,1
正式,1
游玩,2
发现,2
肤浅,1
“baba,1
”非彼“,1
”，,4
其实,1
精髓——定义。,1
任何,1
第一步,1
永远是,1
清楚,1
游戏规则,1
并且,1
大多数,1
情况,1
不会,1
变动,1
最多,1
加点,1
补充,1
说明,1
可是,1
刺激,1
赋予,1
能力,3
定义,2
”。Baba,1
一只,1
白色,1
不明,1
动物,2
“B,1
aba Is You”,1
意思,3
随意,1
操作,1
移动,2
还有,2
其它,1
词汇,1
比如,1
第一类,1
名词,1
rock，flag,1
等等,2
第二类,1
动词,1
stop，float,1
这些,2
简单,5
易懂,1
英文,1
单词,3
为了,1
游戏性,1
关注,2
语法,1
问题,3
），,2
随便,1
挑出,1
两个,1
就能,2
搭配,1
rock is float,1
石头,2
漂浮,2
地面,1
物体,1
通过,3
这时候,1
改变,3
类似,1
箱子,4
方法,1
“rock is float”,1
替换,2
“rock is stop”,1
或者,1
“wall is float”，,1
前者,1
不能,3
后者,1
“墙,1
在空中,1
自己,1
最终,1
达成,1
目的,1
抵达,1
胜利,1
终点,1
值得,1
由于,1
这种,1
方式,1
极具,1
开放性,1
许多,1
关卡,4
多种,1
思路,3
某些,1
甚至,1
带来,2
极大,1
惊喜,1
丰富,2
性。,1
h1] 总结 [/h1,1
几十个,1
构成,1
两百个,1
颇具,1
挑战性,1
谜题,4
优秀,1
重要,1
优点,2
单个,1
机制,2
，力,1
从而,1
谜底,1
揭开,1
巨大,1
成就感,1
这一点,1
很漂亮,1
所有,1
感兴趣,1
应该,1
h1]————————————[/h1,1
欢迎,1
加入,1
鉴赏家,1
游话,1
好说,1
我们,1
一群,1
爱好者,1
希望,1
评测,2
帮助,1
大家,1
认识,1
更多,1
期待,1
同行,1
store,1
steampowered.com/curator/42228259[/u].Life is hard,1
好玩,4
但是,1
可能,2
脑子,2
10,1
人类,1
智慧,1
神迹,1
，唯有,1
跪拜,1
一途,1
aba is you. Stupid is me,1
帕特里克,2
无穷,1
奇遇,1
评论,1
相关,1
视频,1
一会,1
感觉,1
steam,2
评价,1
可靠,1
baba is you难度曲线,1
引导,1
相比,1
来说,1
确实,1
很多,2
当然,2
妨碍,1
追求,1
难度,2
偏向,1
或许,1
不是,1
接受,1
game is good,1
fool is me,1
有意思,1
顶级,1
解密,4
基本,2
明了,1
，推,1
语句,1
赋值,1
配合,1
十来个,1
具备,1
不同,1
意义,1
衍生,1
繁杂,1
多变,1
过程,1
考验,4
全局,1
控、,1
顺序,1
设计,4
逻辑,2
思考,2
拓展,1
思维,2
多数,1
足够,1
有趣,1
经常,1
几十分钟后,1
突然,1
顿悟,1
收获,1
爆炸,1
快感,2
除了,1
音乐,1
其他,1
方面,1
相当,1
完美,1
纯粹,1
适合,1
锻炼,1
有很多,1
解法,1
十分,1
奔放,1
时候,1
思想,1
天马行空,1
一点,1
更容易,1
过关,1
35,1
50,1
评分,1
非常,2
有特色,1
推动,1
文字,2
物品,1
属性值,1
（例如,1
：baba is you，,1
wall,1
旁边,1
baba,1
然后,1
就会,1
变成,1
各种,2
组合,1
创造,1
非常好，,1
而且,1
喜欢,1
益智游戏,1
玩家们,1
千万,1
错过,1
很难,1
脑洞大开,1
aba is You,1
lag is Win,1
ame is Difficult,1
Me is dumb,1
BABA IS HOT,1
BRAIN IS MELT,1
孩子,1
最喜欢,1
编程,1
软件,1
尤其,1
解开,1
一瞬间,1
10年,1
便秘,1
得到,1
释放,1
第一個,1
遊戲,1
成就,1
主地,1
：約,2
3關,1
提示,2
隱藏關,1
8關,1
4關,1
解答,1
230關,1
  / 12個主題  / 3個隱藏球,1
天才,1
作，,1
一般,1
熟练度,1
想象力,1
理解力,1
拍案叫,1
绝。,1
唯一,1
有待,1
商榷,1
地方,1
有时候,1
新出现,1
无法,1
知道,1
优先级,1
需要,1
尝试,1
才能,1
了解,1
花费,1
时间,1
缺点,1
见仁,1
智。,1
