steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561198028709564,108,18,2464,0,2464,2023-01-22 02:23:03,137707700,english,I haven't beaten this yet， but it is a great game. I don't know anything else quite like it and it makes it hard to describe. It is a card game， time is a factor， there is no rule book. Pro tip- don't work at the office too long without getting promoted.,2023-05-03 09:12:17,2023-05-03 09:12:17,True,0,0,0,0,True,False,False,True,,254,False,,
76561198034853954,799,63,1852,1852,1852,2023-05-03 05:50:03,137700997,english,The thing that will kill you is the lack of distinction between deadly and harmless things. Bleak Thoughts 1 looks the same as Bleak Thoughts Instakill， and for good measure could have spawned in a corner off screen.,2023-05-03 05:58:10,2023-05-03 05:58:10,False,0,0,0,0,False,False,False,True,,216,False,,
76561198321412600,226,15,1584,1584,1341,2023-05-03 03:25:08,137673647,schinese,密教模拟器(x);007社畜打工模拟器(√);桌面整理模拟器(√);;前期试错作死探索的时候最欢乐，中后期得重复下副本入梦刷有点坐牢，主要是刷的过程纯看脸，也不会发生什么随机事件比较无聊。多周目躲不掉的重复积累过程让坐牢感更明显了。;明明手下教徒各类人材十几号，却只能让教主搬砖水论文赚钱供教徒全世界旅游这河里吗,2023-05-02 20:19:38,2023-05-02 20:19:38,False,1,0,0.523809552192687988,0,False,False,False,True,,156,False,,
76561198021172451,256,39,1946,1946,1131,2023-05-03 05:30:13,137597672,english,It has it's talons deep in me and I don't think I can get away. 10/10,2023-05-01 13:23:04,2023-05-01 13:23:04,True,0,0,0,0,True,False,False,True,,69,False,,
76561199091909357,104,5,5291,910,5006,2023-05-02 19:28:05,137594231,schinese,剧情丰富，体验不错，但是开局内容重复。有时候很看运气,2023-05-01 11:34:37,2023-05-01 11:34:37,True,0,0,0,0,True,False,False,True,,26,False,,
76561198006230780,148,10,1161,0,1161,2022-11-18 20:52:58,137588685,english,Brutally difficult， you will die， often. You will win unsatisfactorily， often unexpectedly. You may build a powerful cult only to have it all come undone in a quick series of unfortunate cards. You can end up sabotaging yourself by choosing incompatible upgrade paths and find your path forwards forever barred. Most of the game is spent watching timers tick down while you try to keep your list of future actions in mind. ;It's enough to make you die from dread.;It is however captivating. ;The lore and setting is full Lovecraftian. If you unironically enjoy the process of sorting large numbers of things， it can be very pleasing to get a good system perfectly laid out. On that note I wish some of the card moving and stacking mechanics worked a bit better. ;Recommended， but know the price you pay.,2023-05-01 09:05:52,2023-05-01 09:05:52,True,0,0,0,0,True,False,False,True,,803,False,,
76561198062323065,384,9,163,0,163,2023-03-11 20:17:36,137579413,english,Best Indie game ever.,2023-05-01 05:32:26,2023-05-01 05:32:26,True,0,0,0,0,True,False,False,True,,21,False,,
76561199349733811,2,1,1950,270,1829,2023-05-02 00:30:16,137562487,schinese,给朋友推荐了这个游戏，他比我更喜欢玩这个游戏,2023-05-01 00:36:17,2023-05-01 00:36:17,True,0,0,0,0,True,False,False,True,,22,False,,
76561199074719618,39,6,5152,29,5123,2023-04-30 10:56:24,137523939,schinese,我是傻逼,2023-04-30 10:22:55,2023-04-30 10:22:55,True,0,0,0,0,True,False,False,True,,4,False,,
76561198081058052,62,12,11371,11371,8722,2023-05-03 09:02:10,137517260,english,To be fair， you have to have a very high IQ to understand Cultist Simulator.,2023-04-30 07:33:43,2023-04-30 07:33:43,True,0,1,0,0,True,False,False,True,,76,False,,
76561198061896831,470,44,43,18,43,2023-04-30 05:51:41,137513683,english,Pretentious nonsense "game" that would insist on being called a film if it were a movie. ;;The not having a tutorial is a bad sign， but it's not a deal breaker. What is a deal breaker is that nothing engaging happens to make me care to figure out the game. Lots of people (although not myself) had issues with their devs previous game Sunless Sea because it wasn't the exploring/trading game they wanted. It was a story driven game where you did explore the world， but none of the ship-captain-game tropes applied. to it. ;;The problem here is that it dispenses with the story which means there's no real reason to do the work to figure out the game. I'm not going to eat bowl after bowl of plain oatmeal just in case there's a steak later， and when I feel like playing a game where the devs hid the good stuff I'll just fire up Hidden Folks.,2023-04-30 06:11:08,2023-04-30 06:11:08,False,1,0,0.452436178922653198,0,False,False,False,True,,842,False,,
76561198116786278,168,3,22786,1755,22634,2023-05-02 18:27:23,137463154,english,One of my favorite games I've ever played. Incredible writing mixes with minimalist story-telling to create an infinitely deep well of mystery and intrigue. Fair warning， however: this is also perhaps the hardest game I've ever played. The mechanics are intricate and delicate， requiring an incredible amount of skill and patience. Now， having beat it 30+ times， it's become a comfort game for me， and I've come back to it again and again after years of playing. Listen to the opening scrawl: "You won't always know what to do next. Keep experimenting， and you'll master it.",2023-04-29 13:31:46,2023-04-29 13:31:46,True,0,0,0,0,True,False,False,True,,575,False,,
76561199058723580,75,23,389,38,351,2023-04-28 20:17:10,137415914,schinese,你就算管了数十人，最后你也只是在收拾桌子,2023-04-28 19:33:54,2023-04-28 19:33:54,True,1,0,0.52173912525177002,0,True,False,False,True,,20,False,,
76561198081514088,546,29,2038,2038,1341,2023-05-01 12:55:38,137403957,english,This game is fantastic. A real gem. Had a blast learning mechanics and all the weird funky interactions you can do. Had real fun assembling my cult team Ocean 11 style while keeping it on the DL from the Dream Police. One of my character's occult research was financed entirely by sugar daddies lmao. I don't want to spoil any mechanics so I'll leave it at that but make sure not to look up any guides and just explore the game on your own. You will get a real kick out of it if you like Lovecraftian story telling. Gifted it to my friend too hehe. Gotta spread the love.,2023-04-28 13:18:21,2023-04-28 13:18:21,True,0,0,0,0,True,False,False,True,,571,False,,
76561198377638527,134,56,450,0,450,2023-04-15 19:34:51,137368764,schinese,让人怀疑人生，怀疑现实世界的游戏，慎玩。,2023-04-27 21:12:56,2023-04-27 21:12:56,True,0,0,0.48245614767074585,0,False,False,False,True,,20,False,,
76561198273315136,116,2,4678,1290,4557,2023-04-28 00:01:45,137363015,schinese,一款杀时间，电波系的rogue向卡牌游戏，推荐给有足够时间且对神秘学有些许兴趣的玩家;虽然是一款以类克苏鲁风格为背景做世界观的游戏，但其游戏本身并无任何类克苏鲁风格的恐怖元素 [strike] 可以放心大胆挖掘游戏内秘史设定并入迷 [/strike];游戏中最关键且有趣的部分在于探索，这一过程在对游戏了解越少的时候是越有趣的，但也因为对游戏了解不足，极其容易出现反复bed end的情况，需要足够的耐心与兴趣支撑 [spoiler] 或者可以去问万能的wiki [/spoiler] [spoiler] 毕竟游戏内几乎没有任何形式的引导 [/spoiler];一些不涉及游戏内剧透的小技巧，如果你刚刚游玩这款游戏，且总是莫名其妙的bed end导致没办法继续进行游戏不妨点开看看;[spoiler] 1.游戏内所有卡牌与卡槽都具有属于自己的“性相”拥有与卡槽相同性相的卡牌才能放进卡槽，如果你不知道自己能做什么，不妨看看有哪些卡槽的性相与手牌相同 [/spoiler];[spoiler] 2.游戏内部分卡牌具有时限，如果你想用这些有时限的卡去做某些事但时间来不及，不妨把它拖进可用的卡槽中，开着卡槽界面继续游戏试试 [/spoiler];[spoiler] 3.如果你因为一些操作失误而出现和原本预期大相径庭的结果，不妨试试ctrl+~，这是游戏内置的工作台，你甚至可以用它作弊（不推荐，这会失去游戏内很大一部分的乐趣） [/spoiler],2023-04-27 18:13:32,2023-04-27 18:13:32,True,0,0,0,0,True,False,False,True,,623,False,,
76561199120809757,8,1,1644,35,1644,2023-04-27 16:36:47,137360608,schinese,游玩门槛高，很长一段世界才能玩懂，刚开始玩几乎泡在维基百科里看攻略，但非常有趣！设定庞大，需要慢慢体会这光怪陆离的世界观！,2023-04-27 16:39:47,2023-04-27 16:39:47,True,0,0,0,0,True,False,False,True,,61,False,,
76561197961692104,72,17,1500,1500,554,2023-05-01 02:03:10,137324925,english,Awesome replay style. A good venture for a dark heart.,2023-04-26 22:35:37,2023-04-26 22:35:37,True,0,0,0,0,True,False,False,True,,54,False,,
76561198203313065,124,7,188,37,188,2023-04-26 00:07:53,137321165,schinese,学会拖动卡牌上班了吧？很好，接下来试着飞升吧！,2023-04-26 21:07:15,2023-04-26 21:07:15,True,1,0,0,1,False,False,False,True,,23,False,,
76561198076449678,69,6,4403,278,4124,2023-05-01 23:58:41,137304971,english,Whew， Cultist Simulator has one of the steepest learning curves of any game I've ever played， and I've only "won" like twice， but damn it's fun. Fun? Soothing might be a good way to put it. The music is great， too.,2023-04-26 10:47:23,2023-04-26 10:47:23,True,0,0,0,0,True,False,False,True,,214,False,,
76561199022412019,15,3,1412,772,839,2023-04-30 11:48:49,137252782,english,Very fun， loved exile.,2023-04-25 08:55:50,2023-04-25 08:55:50,True,0,0,0,0,True,False,False,True,,22,False,,
76561198101466447,638,25,2718,667,2339,2023-04-25 23:21:23,137224097,schinese,这类值得深入研究的游戏真的不多,2023-04-24 20:51:47,2023-04-24 20:51:47,True,0,0,0,0,True,False,False,True,,15,False,,
76561198336290576,290,24,1704,1548,1704,2023-04-24 19:12:50,137221325,schinese,优点：极为优秀的本地化文本，宏大而诡谲的神秘学世界，前期丰富的探索感;;缺点：中后期重复度高，流程引导极为晦涩（不过引导晦涩这一点算是文本优秀代入感强的负面效应），每轮游戏时间过长，不方便后期探索路线，并且无明显节点导致玩起来容易疲惫;;28h打了灯教小胜（灯教当时不会玩创的是启教所以二周目开局就没办法玩下去很气）、铸教小胜、铸教大胜三个结局，现在已经完全疲惫了，中途反复想着呜呜呜打一次大胜结局就不想再玩了累死了;;对阅读不排斥、对神秘学感兴趣、有耐心的玩家非常建议入手体验一下。新手玩不懂看教学估计也很懵，可以自己探索一段时间之后看看wiki，挺方便的;哦对了，笔记本的小屏幕玩起来好痛苦！玩的时候一直想着要是我也有大屏幕就好了TAT,2023-04-24 19:31:43,2023-04-24 19:31:43,True,1,0,0.523809552192687988,0,True,False,False,True,,320,False,,
76561198968662566,96,4,3876,886,3519,2023-04-27 19:19:52,137157959,schinese,推荐购买，上手比较难，但是熟悉后挺有趣,2023-04-23 15:44:07,2023-04-23 15:44:07,True,0,1,0,0,False,False,False,True,,19,False,,
76561199035563409,45,2,9270,5490,6934,2023-04-26 00:55:43,137153180,schinese,非常好玩，非常上头，非常策略，唯一就是这个游戏很解谜，对萌新没有任何教程，但是游戏是好游戏，就是每开一把都要玩很久，特别前期拉三维，招人和买书要很久，但是每开一把都很上瘾，还有各种各样的成就和结局，有时候为了拿某个成就会故意死一把，因为萌新玩几把基本就会了不容易死，但是有些成就需要失败解锁，但是赢一把要很长时间，除了基础那几个开局好一点，DLC拓展包的玩法真的是又麻烦又浪费时间，但是好玩就完了，建议打折入手，我是之前打折买的五折还是六折买的，原价买感觉有点小贵，因为这个游戏要买全，没有DLC的开局很平淡，DLC会增加其他开局，其他飞升方式，和特定的故事和各种结局,2023-04-23 13:11:01,2023-04-23 13:11:01,True,1,0,0.523809552192687988,0,False,False,False,True,,284,False,,
76561197999666315,260,11,3915,3915,3091,2023-04-24 10:12:29,137139736,english,yes,2023-04-23 06:38:57,2023-04-23 06:38:57,True,0,0,0,0,True,False,False,True,,3,False,,
76561198317128927,92,32,37,5,32,2023-04-24 21:15:38,137095509,english,Very interesting game,2023-04-22 14:58:46,2023-04-22 14:58:46,True,0,0,0,0,False,False,False,True,,21,False,,
76561198290312969,187,26,4625,786,4621,2023-04-29 00:07:56,137045270,schinese,说实在的，这个世界观做成游戏有点屈尊，合成大秘传+梦里抽卡+凑属性点，玩多了也就那样，套路都是固定的。;如果能展开来写成小说的话就好了，洋人修仙(飞升)传，谁不想看啊。,2023-04-21 17:41:57,2023-04-21 17:41:57,True,1,0,0.444444417953491211,0,True,False,False,True,,84,False,,
