word,count
haven,10
beaten,1
yet,14
but,359
is,729
great,53
don,92
know,68
anything,29
else,20
quite,34
like,240
makes,32
hard,41
describe,3
It,190
card,80
time,162
factor,2
no,107
rule,5
book,8
Pro,1
tip,2
work,41
office,1
too,62
long,39
without,38
getting,31
promoted,2
The,289
thing,37
will,116
kill,8
lack,16
distinction,1
between,9
deadly,3
harmless,1
things,83
Bleak,2
Thoughts,2
looks,5
same,41
Instakill,1
good,76
measure,2
could,58
have,223
spawned,1
corner,2
off,25
screen,7
密教,56
模拟器,50
007,2
社畜,11
打工,24
桌面,8
整理,6
前期,24
试错,3
探索,53
时候,25
欢乐,2
中后期,5
重复,42
副本,5
入梦,9
有点,16
坐牢,5
主要,5
过程,25
纯看,1
不会,24
发生,3
随机,5
事件,9
比较,21
无聊,3
周目,6
积累,1
明显,5
明明,2
手下,1
教徒,23
各类,2
人材,1
十几号,1
只能,15
教主,38
砖水,2
论文,4
赚钱,6
全世界,1
旅游,1
河里,1
has,82
talons,1
deep,28
me,114
think,48
can,234
get,144
away,16
10,69
剧情,14
丰富,13
体验,28
不错,15
但是,59
开局,20
内容,34
有时候,3
看运气,1
Brutally,1
difficult,31
die,22
often,16
You,69
win,22
unsatisfactorily,1
unexpectedly,3
may,21
build,12
powerful,2
cult,38
only,78
all,151
come,26
undone,1
quick,8
series,4
unfortunate,1
cards,144
end,38
up,115
sabotaging,1
yourself,27
by,75
choosing,1
incompatible,1
upgrade,3
paths,6
find,41
your,208
path,6
forwards,2
forever,7
barred,1
Most,7
spent,17
watching,8
timers,32
tick,2
down,35
while,44
try,44
keep,50
list,4
future,3
actions,29
mind,32
enough,43
make,63
from,96
dread,21
however,7
captivating,7
lore,103
setting,16
full,8
Lovecraftian,9
If,77
unironically,1
enjoy,33
process,12
sorting,5
large,5
numbers,2
be,229
very,92
pleasing,3
system,10
perfectly,7
laid,1
out,161
On,8
note,5
wish,9
some,92
moving,7
stacking,2
mechanics,64
worked,6
bit,43
better,25
Recommended,3
price,3
pay,5
Best,3
Indie,1
ever,25
朋友,3
推荐,37
喜欢,38
To,7
fair,6
high,5
IQ,1
understand,44
Cultist,66
Simulator,58
