steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated
76561199104583312,44,3,18316,795,18316,2023-05-03 01:08:20,137688022,schinese,种地三天果蝇王治好了我的精神内耗,2023-05-03 01:16:30,2023-05-03 01:16:30,True,0,0,0,0,True,False,False,True,,16,False
76561199407960894,4,1,162,162,162,2023-05-01 01:54:12,137685983,schinese,4.8双人份还要什么自行车，4.8买个好点的斐济背都买不到，还不买？不买给你一拳??,2023-05-03 00:35:55,2023-05-03 00:35:55,True,0,0,0,0,True,False,False,True,,41,False
76561199207088918,106,4,732,56,732,2023-05-01 10:21:18,137685166,schinese,我是傻逼，原价买的就4.8了，不过原价买也值，打折买更值,2023-05-03 00:18:34,2023-05-03 00:18:34,True,0,0,0,0,False,False,False,True,,28,False
76561199365063639,10,2,350,350,350,2023-05-02 15:17:53,137685100,schinese,好玩,2023-05-03 00:17:48,2023-05-03 00:17:48,True,0,0,0,0,True,False,False,True,,2,False
76561199353382503,11,1,2209,2209,2209,2023-05-03 00:15:01,137684986,schinese,4.8 约等于免费,2023-05-03 00:15:28,2023-05-03 00:15:28,True,0,0,0,0,True,True,False,True,,9,False
76561199497699415,4,1,423,423,423,2023-05-02 23:55:40,137684891,schinese,和朋友玩真的不错的选择， 满分！,2023-05-03 00:12:59,2023-05-03 00:12:59,True,0,0,0,0,True,False,False,True,,16,False
76561199191182544,5,1,8260,520,8170,2023-05-03 01:22:49,137684634,schinese,卡卡卡卡卡卡卡卡卡卡,2023-05-03 00:07:47,2023-05-03 00:07:47,False,0,0,0,0,False,False,False,True,,10,False
76561199384262618,2,2,905,876,817,2023-05-03 01:32:21,137684423,schinese,特别好玩,2023-05-03 00:03:32,2023-05-03 00:03:32,True,0,0,0,0,True,False,False,True,,4,False
76561199051914088,9,2,7771,828,7771,2023-05-02 23:16:29,137683818,schinese,非常优秀的文化产品,2023-05-02 23:50:43,2023-05-02 23:50:43,True,0,0,0,0,True,False,False,True,,9,False
76561199438921917,11,2,7342,433,7342,2023-05-02 20:14:37,137683587,schinese,好玩喵~,2023-05-02 23:45:37,2023-05-02 23:45:37,True,0,0,0,0,True,False,False,True,,4,False
