word,count
种地,11
三天,11
果蝇,11
王治好,11
精神,22
内耗,11
4.8,143
双人,55
还要,11
自行车,11
买个,33
好点,11
斐济,11
买不到,11
不买,11
一拳,11
原价,33
不过,110
打折,22
更值,11
好玩,601
约等于,11
免费,32
朋友,242
真的,95
不错,143
选择,11
满分,11
卡卡,55
特别,11
非常,143
优秀,22
文化,11
产品,11
奇趣,11
画风,33
灵动,11
音乐,11
沙盒,22
探险,11
单机版,22
初中,11
着迷,11
一次次,11
冒险,11
指查,11
百度,11
各个,11
物品,22
作用,11
感觉,66
自己,87
愈发,11
强大,11
最后,22
征服,11
世界,55
衣食无忧,11
多个,33
300,11
500,11
事情,11
可干,11
期间,11
相关,11
剧情,22
视频,22
可惜,22
时候,66
知道,36
梯子,11
不了,44
官方,11
后面,33
渐渐,11
作废,11
时隔多年,11
大学,11
无聊,11
时来,11
试了试,11
联机,242
虽然,44
仍然,11
开心,33
继续,22
感受,62
饥荒,198
生物,11
之前,22
记忆里,11
细节,11
想起,22
愉悦,22
赞叹,11
nb,44
nice,11
优化,11
不少,11
现在,66
很快,11
Special,11
mysterious,11
and,11
attractive,11
消磨,11
时间,66
没有,95
海难,11
hw,22
怎么,33
手把手,11
开始,22
不会,97
材料,11
动不动,11
突然,11
暴毙,11
但是,49
从来,11
放弃,11
各种,22
方法,11
复活,22
重生,11
护符,11
救赎,22
之心,22
一次,43
心疼,11
200,11
小时,88
后来,11
学会,11
很多,44
不知不觉,11
400,11
变成,11
老油条,11
21,11
年底,11
手术,11
玩游戏,29
偶尔,11
他家,11
陪陪,11
看看,22
扩建,11
基地,22
属于,11
我们,11
两个,29
存档,11
目前,11
已经,58
1249,11
对于,22
来说,22
不仅仅,11
只是,22
找到,22
一起,143
快乐,66
欢笑,11
兄弟,22
最好,11
先玩,11
单机,33
解饿,11
好友,11
永远,11
闪退,33
只能,22
没玩过,11
完整,11
不好玩,55
查理,11
怀里,11
377,11
hao,11
火女,11
玩家,44
玩薇,11
洛玩得,11
谢谢,22
小熊,11
nnd,11
一进,11
房间,11
mod,33
禁用,11
泰裤,22
GOOD,22
我要,11
狠狠,11
种田,11
海滩,11
哈姆雷特,11
码字,11
写大,11
长条,11
评论,86
总之,11
风格,11
简单,44
