word,count
进不去,3
不了,7
小时,21
垃圾,5
白花钱,1
vr,46
应该,8
很多,12
想象,4
那些,3
经典,3
2d,2
过关,2
形式,1
重新,4
呈现,2
多么,2
美妙,1
一款,25
心曠神宜,1
神作,7
無論,3
場景,13
謎題,2
戰鬥及,1
互動,8
方面,5
相當,5
出色,3
並且,1
感到,3
愉快,2
絕對,7
VR,151
遊戲,45
不能,8
錯過,5
巔峰,1
作品,16
之一,6
想要,3
一個,11
良好,5
體驗,12
那麼,2
MOSS,5
BOOK,2
值得,19
一試,1
它會,1
進入,5
令人,7
驚嘆,1
奇幻,4
世界,16
重要,2
不會,6
某些,2
人暈眩,1
操作,41
簡單,2
易學,1
初次,1
玩家,44
能夠,1
目前,10
因硬體,1
限制,3
雖然,7
無法,2
一般,3
使用者,1
有如,1
4K,1
電視,1
般的,1
高清晰,1
畫面,10
這款,11
風格,3
光影,2
表現,2
每個,3
充滿,1
細節,2
講究,1
地方,11
栩栩如生,2
完全,8
沉浸,11
這個,2
主角,14
非常,55
可愛的,7
小老鼠,55
進行,2
幫助,1
解決,2
打敗,1
敵人,2
這種,3
方式,8
直觀,1
自然,5
而且,20
動作,7
表情,2
生動,3
熟悉,1
手語,1
不定,1
能看懂,1
表達,1
一種,1
前所未有,1
魅力,1
千萬,1
不要,11
缺點,2
時間,3
大約,1
小時,4
難度,5
不算,5
太高,2
可能,11
滿足,1
有些,17
挑戰,1
需求,1
---,1
設定,3
建議,6
使用,6
Quest,3
Virtual,1
Desktop,1
無線,1
串流,3
遊玩,2
VD,5
Menu,4
SETTINGS,1
Advanced,1
Options,1
取消,1
打勾,1
Increase,1
video,2
nominal,1
range,1
否則,1
太暗,1
看不清楚,1
解鎖,3
成就,5
時不會,2
顯示,2
選單,5
GAMES,1
直接,8
開啟,2
在畫,1
面上,1
選擇,3
Launch,1
SteamVR,5
左手,3
選單鍵,1
這樣,1
出現,1
不到,10
單鍵,3
似乎,1
衝突,1
必須,1
將遊戲,1
改為,1
注意,6
經過,1
修改,1
提示,8
手把,4
變成,1
VIVE,5
控制器,9
影響,1
不大,1
中文,51
將語,1
音調,1
整成,1
國語,1
字幕,18
調整,4
簡體,1
因為,3
繁體,3
內容,2
跟語,1
音會,1
不少,4
不同,5
起來,5
奇怪,1
好玩,25
第二代,1
真是,2
古典,1
塞尔达,3
精神,1
续作,2
最后,11
Sarffog,1
追击战,1
棒极了,1
迫不及待,4
开始,12
中文字幕,8
讲述,2
诚意,2
满满,2
选用,1
盆景,1
视角,32
有效,1
规避,1
3d,2
晕眩,1
问题,14
解密,32
相辅相成,1
可以,69
体会,1
制作组,3
gameplay,1
用心,3
总体而言,1
作为,10
本身,8
素质,1
优秀,13
游玩,13
--------------,4
通关,19
优点,2
流畅,4
动作,21
设计,25
符合,1
老鼠,19
习性,1
小动作,2
可爱,50
基于,1
逻辑,1
恰到好处,5
难度,9
缺点,7
战斗,35
系统,8
比较,14
单调,2
虽然,20
手感,6
但是,30
无法,6
忽视,1
敌人,6
种类,1
缺憾,1
流程,14
剧情,14
叙述,1
结局,1
意犹未尽,4
感觉,27
虽说,1
中文翻译,2
翻译,2
很重,1
本地化,1
不好,3
时候,12
用词,1
变扭,1
所幸,1
moss2,1
这么,15
底子,1
期待,13
無須,1
多言,1
必玩,4
第一次,11
3D,4
超棒,4
解谜,25
适中,1
时间,6
左右,1
查缺,1
补漏,1
收集,9
三个,1
场景,44
设定,1
啊啊啊,4
推荐,13
价格,4
原价,2
不亏,2
美丽,3
梦幻,2
童话世界,1
各个,2
制作,8
精良,3
画质,5
超赞,4
解謎,10
巧思,1
有趣,16
玩完,5
成就感,1
不用,7
說遊戲,1
情感,1
氣氛,2
實在,2
優秀,2
BTW,1
奎爾,3
超級,3
光是,3
角色,15
帶來,1
回饋,1
马上,1
10,7
原来,2
出点,1
第一人称,8
实在,3
Quill,21
真的,34
太太,5
第二章,1
啥时候,1
PC,5
鼠鼠,5
那么,6
喜欢,19
有时候,1
还会,4
击掌,8
我害,1
多次,2
一样,11
身临其境,5
Q2,1
不是,19
压脸,1
脖子,1
以后,5
设备,13
轻便,1
很难,3
这是,11
2018,1
MOSS2,1
好像,6
快上,1
后面,5
继续,2
要说,1
旁白,5
文化,1
或者,10
还有,13
来说,14
有点,15
每一关,1
要死,1
才能,6
过去,2
真是太,3
今天,2
知道,10
hhh,1
封控,1
在家,1
一年,1
机器,1
出来,5
随便,1
玩玩,2
这款,6
算是,8
惊讶,1
同样,4
类似,7
掉落,1
兔子,3
第三人称,5
但鼠,1
小妹,6
无论,3
美术,8
风格,10
多样,1
丰富,6
出乎,1
意外,4
画面,27
短短,1
内容,7
大量,2
迥异,2
满满当当,1
一片,1
绿意盎然,1
森林,3
气氛,4
诡异,1
沼泽,1
灵气,1
动人,1
迷幻,1
仙境,2
伸手不见五指,1
魔窟,1
险境,1
几乎,2
每隔,1
40,1
分钟,3
刺激,4
感官,3
让玩家,5
从头到尾,1
保有,1
新鲜度,1
之上,1
更令,1
满意,1
精雕细琢,1
不仅仅,1
局限于,1
互动,28
区域,1
READER,3
抬头,2
四望,1
便会,1
发现,9
远景,2
做到,3
尽善尽美,1
宏大,2
巧妙,3
作用,2
便是,1
衬托,1
渺小,1
宣传片,2
之所以,1
看鼠,1
公鹿,1
相识,1
一段,1
正是,2
因为,7
一段落,1
产生,3
整个,2
一小,1
一大,4
这种,13
看不出,1
只有,12
亲自,1
带上,1
头显,2
核心,1
玩法,14
一点,5
不过,18
不失,1
一度,2
以为,9
哪里,3
儿童,1
益智,3
随着,1
关卡,17
深入,2
谜题,7
愈发,1
属于,2
也许,4
碍于,1
技术,2
水平,2
体量,3
单个,1
足够,1
没有,29
出现,2
拍案叫绝,1
大型,2
类型,4
虽多,1
总体,6
思路,1
较为,3
单一,1
不会,7
厌烦,1
前提,1
只能,9
积小胜为,1
大成,1
毫无疑问,1
是因为,1
心态,1
着实,1
看似,1
手柄,24
键位,2
奇缺,1
攻击,5
跳跃,8
回避,1
却是,2
性能,2
并且,5
无论是,3
打击,2
感都,1
包含,1
支线,1
开发,2
居然,7
两套,1
武器,2
除了,7
长剑,1
快攻,1
放放龟,1
气功,1
两场,1
BOSS,5
水准,2
在线,1
甚至,7
掉以轻心,1
以至于,2
死伤,1
玩出,1
魂味,1
夸张,1
根据,1
这套,1
底层,1
一些,15
怪物,7
做出,1
媲美,2
空洞,1
骑士,1
优秀作品,1
可惜,6
本作,8
数量,1
稀少,1
利用,4
遭遇战,1
叙事,1
没什么,2
中规中矩,3
童话,10
冒险,15
故事,28
唯一,3
引出,1
身份,1
存在,2
二重,1
身在,1
能够,4
自洽,1
依可据,1
戛然而止,1
后续,3
上网,1
一查,1
登录,1
