word,count
Everything,4
is,171
an,34
Omori,30
reference,1
ye,1
sye,1
sy,1
esyyeysysyysyssyyedyeysyye,1
ve,26
never,12
played,37
to,200
made,14
me,59
laugh,2
at,28
something,18
so,63
stupid,1
and,295
then,6
make,22
cry,13
days,5
later,2
from,23
the,373
music,15
it,256
good,47
dont,5
sniff,1
glue,1
while,7
you,165
play,53
this,153
its,26
trippy,1
asf,1
放下,1
过去,3
直面,1
未来,3
It,61
in,100
many,15
ways,5
Music,2
presentation,2
creativity,1
all,52
there,10
...,16
did,6
get,18
smiles,1
gasps,1
laughs,2
some,19
sniffles,1
fulfilling,1
regards,1
am,11
glad,3
But,12
why,9
thumbs,1
down,6
An,2
analogy,1
for,70
my,64
feelings,3
You,13
know,21
how,23
songs,1
have,45
motif,1
repetition,2
ostinato,1
of,160
essentially,2
same,7
lyrics,1
notes,1
beats,1
one,46
after,10
another,4
before,7
moving,3
on,38
Sometimes,1
feels,1
like,44
goes,3
more,23
than,8
should,8
That,8
what,22
felt,11
often,3
level,2
disconnection,1
going,12
through,28
motions,1
much,26
time,28
playing,20
mostly,2
slotted,1
together,4
end,7
but,65
interesting,8
well,22
done,4
parts,4
were,4
too,8
interspersed,1
with,81
large,1
swaths,1
okay,5
teased,1
along,1
instead,1
engaged,2
that,94
could,10
just,35
been,17
nosy,1
adventurous,1
gotta,2
talk,2
everyone,4
self,7
通关,1
之后,6
失眠,1
久久,1
不能,2
释怀,1
非常,17
来自,1
中国,1
Best,4
ever,34
still,11
emotionally,5
scarred,1
worth,14
high,1
key,2
need,10
buy,8
plushie,1
now,14
._.,1
learning,1
actually,8
makes,13
disturbing,4
which,7
want,16
even,21
best,23
10,62
fr,2
twisted,1
wholesome,1
genius,2
Audience,1
Beginner,1
Casual,1
Gamer,2
Normal,1
Expert,1
Graphics,1
Bad,3
Alright,3
Good,7
Beautiful,4
MASTERPIECE,3
IM,1
OBSESSED,1
Difficulty,1
Easy,2
Average,1
learn,2
Hard,2
master,1
Unfair,1
Bugs,3
destroy,1
Lots,1
bugs,2
Few,2
can,39
use,1
them,12
speedrun,1
Nothing,1
encountered,2
Story,4
There,3
none,1
Gameplay,1
Frustrating,1
Sleepy,1
Boring,1
Fun,5
Challenging,1
Game,6
Length,1
Really,1
short,4
hours,19
Short,1
20,4
if,45
focus,2
main,7
story,64
Long,4
40,1
60,1
complete,1
everything,14
Very,4
61,1
100,6
Extremely,1
101,1
Price,1
Quality,1
UNDER,1
PRICED,1
Wait,1
Sale,1
Don,3
Refund,1
h1,4
This,36
absolute,5
rollercoaster,1
From,2
very,34
beginning,4
lures,1
into,17
sense,1
mystery,3
let,2
cute,9
art,19
style,6
deceive,1
most,14
beautiful,16
games,41
dark,3
not,32
recommend,35
enough,10
those,11
easily,6
disturbed,1
filled,1
curiosity,3
admiration,1
excitement,1
positivity,1
only,7
rip,2
away,1
become,1
depression,19
incarnate,1
Shock,1
sadness,1
dissapointment,1
disgust,2
recurring,1
theme,1
guilt,3
The,44
imagery,2
does,7
fantastic,8
job,4
representing,1
emotions,11
combat,11
mechanics,5
important,5
part,9
hr,2
every,13
penny,2
ruined,3
mental,8
foreseeable,1
future,1
Great,8
though,35
was,42
warned,3
about,27
emotional,10
damage,2
didn,9
would,25
be,34
or,21
way,19
come,3
duet,3
thing,7
wonderful,8
eyes,2
out,17
again,13
失忆,2
然后,2
重新,3
一遍,3
TTTTTT,1
喜欢,5
world,21
design,4
are,45
SPOILERS,1
Holy,3
shit,4
changed,5
kind,3
adventure,3
personal,3
trauma,3
peril,1
perfect,5
climax,1
as,41
choose,2
cope,2
loss,2
And,9
tried,1
suggesting,1
other,15
people,10
no,13
avail,1
saddens,1
greatly,1
tackled,1
subject,1
matter,2
excellence,1
How,1
hard,8
death,3
loved,7
desperate,1
try,4
find,4
solutions,1
All,4
characters,34
delightfully,1
developed,3
lying,1
said,7
Final,1
hadn,1
tear,2
up,17
quaint,1
symphony,1
family,1
members,1
Now,2
torn,1
asunder,1
gaps,1
pitiable,1
life,23
left,2
mourn,1
his,2
sister,1
Sunny,7
embarks,1
fictional,1
Fighting,1
sprout,1
moles,1
defeating,1
bosses,3
entire,8
had,14
gone,4
wrong,2
As,3
Basil,9
found,3
fate,1
soon,5
discover,4
renewable,1
torture,1
traveled,1
head,7
space,7
particularly,2
daunting,1
describe,6
don,19
elegiac,1
atmosphere,3
smooth,1
really,38
intrigued,1
understand,4
marked,1
Psychological,2
horror,14
reason,1
serious,1
these,4
moments,2
where,6
reality,4
rips,1
your,28
psyche,2
wild,2
animal,1
faintly,1
realize,2
far,6
damned,1
yourself,7
presenting,1
real,3
once,4
warming,2
caring,1
presence,1
melts,1
stand,1
front,1
door,1
Confronting,1
Mari,28
Is,25
Jokes,1
aside,2
think,19
love,37
auby,1
im,3
speechless,1
incredible,5
psychological,6
animations,2
great,21
first,19
ll,12
totally,4
awesome,3
storyline,2
battle,5
system,7
different,7
sets,2
itself,2
apart,2
truly,12
amazing,33
Water,1
flowers,2
must,5
confess,1
initially,1
outside,1
means,1
since,8
money,4
When,2
opportunity,1
surfaced,1
purchased,1
bc,1
wanted,3
honor,1
Omocat,2
waited,2
couple,1
years,2
release,1
honestly,5
also,18
achievements,3
steam,3
