word,count
不用,17
考虑,5
布局,9
模拟,11
经营,19
起来,44
舒坦,2
he game has an intriguing blend of rogue-like gameplay and card-based mechanics, making it a captivating experience. However, the game's potential is hindered by its limited selection of only two maps and an abundance of surplus cards by the end. Additionally, the game's full achievements can be easily attained, diminishing the sense of accomplishment. Overall,1
 while the game has its strengths, I would rate it a 6 out of 10 due to its lack of depth and replayability,1
从零开始,4
探索,55
东西,68
有很多,6
只不过,4
后面,47
变得,5
机械,1
（除非,1
刻意,1
整活,1
前期,54
手忙脚乱,3
后期,158
不知所措。,1
Takes longer than I think, fun though,1
老菊,4
很不错,33
太短,10
期待,29
开放,12
创意,139
工坊,96
尽早,2
堆叠,57
修仙,4
有意思,76
卡牌,276
结合,6
很好,34
类似,8
背包,1
整理,103
软性,1
要求,10
设计,37
一会,11
因为,22
轮到,1
闺女,1
不错,71
好玩,426
消耗,9
时间,178
但是,190
有点,105
枯燥 ,1
而且,44
有些,27
优化,18
做好,5
影响,12
更新,200
一点,28
（）,3
内容,139
深度,12
释放,1
节奏,10
随机性，,2
因此,4
几把,3
体验,58
美妙,1
慌乱。,1
缺少,8
集约化,1
管理,17
手段,2
中期,31
信息,2
爆炸,5
还要,15
玩家,58
执行,1
基础,9
操作,46
往往,1
力不从心。,1
一款,50
鼓励,3
反复,4
尝试,11
失败,5
两三次,3
通关,67
好少,1
确实,19
需要,92
DLC,5
很好玩,73
打开,33
8点,1
钟，,1
8点钟,1
成就,82
打卡,1
很简单,10
仓鼠,4
上头,195
spoiler,11
一直,42
仓库,19
！ ,5
利器,10
下午,9
没了,13
体量,16
精品,7
玩法,104
简单,66
最后,23
看着,14
两个,26
岛上,1
实现,12
自动化,62
两组,1
海盗,9
全都,6
顶级,2
装备,52
成就感,13
不是,45
本人,7
， ,5
根本,29
下来,49
殺時間 放輕,1
鬆用,1
小品,15
遊戲,60
收集,32
。仓鼠,1
狂喜！！！,1
不知道,37
大家,8
能不能,16
GE,1
T，,1
最喜欢,4
村民,79
放到,7
资源,63
采集,2
感觉,77
“叮”,1
前五个小时,2
woc,1
 woc,2
爱玩,4
十小时,3
怎么,36
一天,22
这么,13
漫长,1
好玩 ,8
现在,32
完全,31
长脑子,1
流程,47
第三把,2
100年,2
四个,4
boss,57
其实,18
趣味性,4
一般,15
理解,4
运作,1
模式,30
以后,17
直接,63
生产,37
无脑打,1
大学,8
许愿,6
井”,1
