index,achievement_name,achievement_desc,achievement_percentage
1,浆果！,采摘一棵浆果灌木,98.9%,
2,$$$,出售一张卡牌,98.7%,
3,好同伴,获得第二个村民,96.8%,
4,我的婴儿床,修建一个房子,95.8%,
5,宝贝,繁衍后代,93.5%,
6,可恶，一只老鼠！,杀死一只老鼠,91.1%,
7,商品,从旅行推车买点东西,83.6%,
8,已打包,解锁所有卡包,81.4%,
9,长寿,到达[moon]月亮年,77.2%,
10,骨架,杀死一个骷髅,73.9%,
11,富有,有50枚硬币,72.8%,
12,丰盛大餐,制作一个煎蛋饼,68.5%,
13,市场销售,在集市出售一张卡牌,66.5%,
14,圣杯洞穴,找到一件神秘的神器,62.3%,
15,衣着不凡,拥有一个战斗等级20的村民,43.2%,
16,结束？,杀死最终BOSS,42.4%,
17,可爱村民,使一个村民戴上兔子帽子,33.7%,
18,变得更强,修建一个铁匠铺,29.6%,
19,最好的朋友,获得一条狗,28.0%,
20,呜喔呜喔呜喔呜喔,找到暗黑森林,26.9%,
21,划，划，划你的船,建造一艘划艇,26.6%,
22,鱼,捕一条鱼,22.7%,
23,看我远攻！,训练一位弓箭手,21.4%,
24,在海滩上放松,解锁所有海岛卡包,21.1%,
25,七大海,建造一艘单桅帆船,18.7%,
26,有点过头了,把一个村民灌醉,16.4%,
27,报仇时候到了,建造一个稳定的入口,16.1%,
28,酸鱼，有什么不喜欢的？,制作酸桔汁腌鱼,12.8%,
29,魔法6号,对战第6波,11.6%,
30,可持续,修建一个温室,11.1%,
31,真正的冒险,找到宝藏,8.6%,
32,戴眼罩的朋友,与一个海盗交朋友,7.9%,
33,坏女巫,对战邪恶女巫,7.4%,
34,触手厌恶者,杀死北海巨妖,7.2%,
35,美味的饮料,酿制朗姆酒,6.8%,
36,另一个？！,杀死终极、终极BOSS,6.5%,
