word,count
3天20小时,1
 终于,1
大陆,37
海岛,84
通关,133
可惜,41
唯一,28
一把,20
扫把,2
森林,14
里面,21
哥是卡牌大师,1
不用,24
考虑,9
布局,12
模拟,27
经营,57
起来,91
舒坦,2
he game has an intriguing blend of rogue-like gameplay and card,1
based mechanics,1
 making it a captivating experience. However, the game's potential is hindered by its limited selection of only two maps and an abundance of surplus cards by the end. Additionally, the game's full achievements can be easily attained, diminishing the sense of accomplishment. Overall,1
 while the game has its strengths, I would rate it a 6 out of 10 due to its lack of depth and replayability,1
从零开始,4
探索,84
东西,124
有很多,10
只不过,5
后面,82
变得,10
机械,5
（除非,1
刻意,1
整活,1
前期,80
手忙脚乱,14
后期,252
不知所措。,1
Takes longer than I think, fun though,1
老菊,10
很不错,57
太短,23
期待,59
开放,42
创意,302
工坊,227
尽早,2
堆叠,88
修仙,7
有意思,167
卡牌,478
结合,8
很好,52
类似,14
背包,1
整理,151
软性,2
要求,14
设计,59
一会,16
因为,38
轮到,1
闺女,1
不错,132
好玩,780
消耗,17
时间,328
但是,313
有点,194
枯燥 ,2
而且,75
有些,49
优化,32
做好,5
影响,14
更新,497
一点,58
（）,4
内容,266
深度,16
释放,1
节奏,19
随机性，,2
因此,8
几把,4
体验,85
美妙,1
慌乱。,1
缺少,9
集约化,1
管理,32
手段,3
中期,40
信息,2
爆炸,5
还要,21
玩家,94
执行,1
基础,12
操作,96
往往,3
力不从心。,1
鼓励,4
反复,7
尝试,21
失败,8
两三次,3
好少,1
确实,36
需要,169
DLC,7
很好玩,124
打开,69
8点,1
钟，,1
8点钟,1
成就,136
打卡,1
很简单,15
仓鼠,4
上头,360
spoiler,33
一直,72
仓库,32
！ ,7
利器,21
下午,18
没了,19
体量,35
精品,11
玩法,244
简单,122
最后,37
看着,25
两个,37
岛上,3
实现,16
自动化,87
两组,4
海盗,16
全都,8
顶级,2
装备,65
成就感,22
不是,71
本人,8
， ,5
根本,46
下来,76
殺時間 放輕,1
鬆用,1
小品,27
遊戲,114
收集,57
。仓鼠,1
狂喜！！！,1
不知道,55
大家,14
能不能,28
GE,1
T，,1
最喜欢,7
村民,123
放到,10
资源,101
采集,3
感觉,131
“叮”,1
前五个小时,2
woc,1
 woc,2
爱玩,7
十小时,4
怎么,54
一天,40
这么,28
漫长,1
好玩 ,12
现在,49
完全,48
长脑子,1
流程,87
第三把,2
100年,2
四个,6
boss,82
其实,33
趣味性,6
一般,25
理解,8
运作,1
模式,57
以后,35
直接,93
生产,52
无脑打,1
大学,8
许愿,6
井”,1
遗漏,1
翻译,5
原版,5
英语,2
意思,15
没有,140
难度,51
无伤大雅,2
总的来说,9
推荐,114
值得,69
4小时,3
建立,7
神庙,6
活下去,4
（。,4
）原以为,1
休闲,146
养成,15
有序,2
没想到,22
真是,10
生存,84
卡牌形式,6
建造,49
元素,19
丰富,42
——,17
食物,121
、修造,1
建筑,50
出售,10
购买,30
卡包、,1
生物,6
战斗,52
正如,1
”大陆，,1
这些,19
都是,49
形式,15
完成,33
很容易,31
一次,37
基本,28
所有,49
，剩下,1
一个两个,1
再开,4
一局,30
拿到,15
同样,9
就能,36
几乎,13
之后,101
很难,23
挖掘,3
更多,57
一周,3
目的,7
寿命,14
秩序,5
结构”卡包,1
主要,19
一些,68
卡片,115
进程,6
很大,16
程度,9
缓解,1
盘面,2
混乱,11
替代,2
手动,11
单挑,1
群殴,8
？单挑,1
我们,48
一群,3
正义,3
鸡巴,1
玩意,7
有毒,7
幸好,3
小巧,4
点点点手,1
 ，,7
希望,225
设置,10
自动,43
处理,10
机制,27
比如,30
种植,8
农作物,2
砍伐,2
苹果树,3
距离,2
这一点,4
鼠标,12
悬停,2
看见,9
材料,23
100,12
月亮,20
准备,8
不要,50
神殿,31
笨比 ,1
太难,6
手感,4
營運卡牌遊戲 邏輯,1
有趣,203
分辨率,3
回去,5
，沃日,1
好像,15
方面,18
不太,35
方便,10
反正,12
农牧,1
经常,27
暂停,45
来说,39
22块,8
简直,17
物美价廉,3
以及,34
还能,15
10张,1
肉鸽,11
强迫症,55
死，,1
为什么,31
方向,6
固定,34
！！！,59
到处,15
乱叠,1
回档,3
或者,76
撤回,1
就好,45
手贱,2
卖掉,7
很重要,4
Stacklands,8
，輕,1
鬆向,1
遊戲性,2
：    ,1
自由性：  ,1
｜策略性：   ,1
｜耐玩性：   ,1
簡約,1
遊戲，,3
輕鬆,16
無壓力。,1
任務,13
很快,23
實現,1
自動,9
化生,1
產。,1
整體來說,4
推薦,10
入手,29
後期,22
版面,10
空間雜亂，,1
E。,1
使用,11
快捷,3
鍵，將會,1
省力,1
不少,25
鍵 E ：將,1
網格，,1
全局,2
幫手,1
建設輪迴：,1
保障,3
穩定,3
提升,19
人口,19
總數,1
上限,22
資源,24
自動化,3
開箱,1
打怪,5
中国,7
折磨,10
袜子,16
哈哈,57
欧墨细罗,1
一.666,1
桌面,71
大师,5
头，,5
解锁,44
还会,10
不会,42
下去,34
非常,421
赶紧,18
实在,25
繁杂,3
一段时间,9
搭配,9
昨天,3
這款遊戲，,1
今天,9
上班,15
，因為,2
禮拜天,1
这款,31
算是,21
一类,2
标杆,1
各种,24
搞怪,1
组合,7
滑稽,1
美术,6
风格,13
体验感,4
非常好,28
随着,7
进入,21
毛病,2
开始,74
显现,1
溢出,7
解决方案,1
过少,2
途径,1
，资源箱,1
取货,1
方式,27
，食谱,1
单一,10
兵种,2
职业,7
较少,8
评，,2
的确,5
新颖,74
泛滥,2
加上,8
导致,29
重复,51
动画片,1
无语,2
努力,4
，滑动条,1
配合,1
滚轮,2
划走,1
想要,20
太多,69
眼睛,29
容易,55
那个,19
资源箱,12
不能,54
批量,1
出来,86
格子,5
流畅度,1
很多,56
，BGM,1
steam,19
单机,7
以来,1
第一次,36
听到,2
那么,22
寡淡,1
综上来,1
满分,5
不行,12
整体,29
咋地,1
一句话,3
总结,11
爽爽,1
开荒,6
人均,1
战神,1
亿点,1
难受,33
虽然,77
上边,1
复数张,1
时候,156
养老,7
种田,21
时不时,1
打打,2
科技,21
树（,1
主意,19
对应,2
），,29
然后,71
房子,13
提速,1
慢慢,23
物资,7
才会,3
面对,4
整个,22
区域,16
怀念,1
神器,11
垃圾桶,2
最好,20
主动,5
逃跑,1
怪物,30
時光機,2
We need workshops,5
クショップ,5
必要,13
联机,8
We need online mode,1
オンラインモ,1
模拟经营游戏。,1
花费,4
大量,21
建设,15
正产线,1
一段,7
地图,62
空间,38
小，,10
于是,3
不得不,8
拆掉,1
生产线,8
保留,5
看起来,5
干净,4
整洁,2
打完,32
收拾,5
糟糕,2
每次,32
血压,6
飙升,3
比较,95
摸鱼,23
吸引,12
进去,14
很久,16
还在,17
回味,3
游戏性,19
下降,2
建议,79
增加,41
卡包,70
事件,4
24小时,6
停不下来,28
小游戏,174
瑕疵,4
不过,88
问题,48
不大,10
15个小时,2
恶魔女巫,1
打死,10
物品,46
半个,1
屏幕,15
保鲜,1
对方,1
已经,77
整齐,8
乱七八糟，,1
差点意思,1
。。。,27
完善,13
有创意,53
所以,47
你们,11
到底,7
5個,1
小時,13
，介面雖然簡單，,1
開卡,3
新奇感,2
也有,16
隨機,5
戰鬥,20
刺激,8
收入,2
之後,3
就會,6
開始,14
感覺,11
沒有,19
目標，,1
覺得,11
