index,achievement_name,achievement_desc,achievement_percentage
1,永恒之厅,我在书里读到过永恒之厅的事情，这里的时间静止不动。,54.9%,
2,锄头,在这个地方，要是有一把锄头就好了。,50.4%,
3,流水,家里要是有自来水就好了，我没有卫生方面的需求，只是喜欢流水的声音。,47.8%,
4,地图,我应该找一张王国的地图。,44.1%,
5,扫兴的成就,我应该把自己每一次的失败列下来，最后说不定会变成一项小小的成就。,43.4%,
6,梦,我希望自己不要总是梦到那个地方。,43.0%,
7,一张面孔,我特别希望能有谁跟我聊聊天，谁都可以……,41.2%,
8,马头,我在这里非常孤独，如果偶尔能看到一双眼睛，那就太好了。,38.1%,
9,家居装潢,我可以刨一刨洞壁，把我小小的家变得大一点。,36.7%,
10,彩色矿石,我的画作要是能再多一些颜色就好了。洞里应该还能找到其他颜色的矿石。,35.4%,
11,书馆,王国有一座秘密书馆，我想找几本书看一看，所以非常想找到这个地方。,35.3%,
12,变成黑暗,我能战胜它吗?,32.7%,
13,等待终结,我漫长的等待什么时候能够结束？,31.5%,
14,哇，哇，哇，哇~,我要是能用自己的乐器奏一段我最爱的旋律，就能纾解孤独的痛苦了。,31.4%,
15,甜蜜的家,我得在这里等这么久，要把家里弄得舒服一些。,24.6%,
16,水晶闪耀,水晶有很多种颜色，我可以开采一些，带回家装点房间。,22.3%,
17,甩掉黑暗,这个黑暗在什么地方？,20.3%,
18,得意之作,我的墙上需要再挂几幅画，尤其是……,19.8%,
19,床,要是有张床就好。如果有合适的材料，我说不定可以搭一张。,18.4%,
20,种蘑能手,还好我不用吃东西，即便这样，种一些漂亮的蘑菇也很有意思。,18.2%,
21,秘密塔楼,这个洞穴应该到处都有隐蔽的地方。,16.8%,
22,爱书如命,我应该再看几本书……,13.7%,
23,洞穴,我什么时候才能把洞穴的所有地方都探索一遍呢？,13.7%,
24,无尽笔记本,我的梦想是找到一本永远都翻不完的书或者本子。,8.6%,
