word,count
不能,1
一次,2
体验,2
相信,1
很少,1
有人,2
沉浸,1
里面,1
因为,1
枯燥,2
成就,1
出来,1
大多数,1
都是,1
0.1%%，,1
大概,2
自从,1
打开,5
当初,1
初心,1
慢慢悠悠,1
一些,1
消磨,1
时间,5
到头来,1
只是,2
几次,1
结束了,3
发现,4
已经,3
突然,2
感觉到,1
生活,3
类似,3
很多事,1
没办法,1
现在,2
很多,5
视频,1
一样,1
立即,1
反馈,1
尤其,1
学习,1
成长,1
需要,1
一点点,1
慢慢地,1
才能,1
水滴石穿,1
最后,2
漫长,4
等待,4
结束,4
没有,4
返回,1
机会,1
多少,2
遗憾,1
怅然,1
时候,2
至少,1
慢慢,1
5分,1
其实,1
探索,1
1年,1
现实,1
但是,5
基本上,1
第一次,2
之后,1
怎么,1
400天后,1
迎来,2
什么样,2
结局,2
而我,1
400天,3
改变,2
东西,2
物品,1
越來,1
越多,1
開心,1
不過,1
還是,1
決定,1
小黑,1
地面,1
有意思,1
尝试,1
修改,1
books,1
plaintext,1
文本,1
自己,4
替换,1
中文,3
版本,1
进入,1
部分,1
汉字,1
只能,1
显示,1
”，,1
遇到,1
同类,1
问题,2
或者,1
成功,1
解决,1
很喜欢,1
无法,1
影子,3
阅读,1
我自己,1
写下,2
实在,1
一件,1
憾事,1
I tried to modify the text in 'books_plaintext' and replaced it with the Chinese version myself, but after entering the game, I found that some Chinese characters can only be displayed as' ,1
 Has anyone encountered similar problems or successfully solved them? I really like this game, but it's a pity to find that I can't let my shadow read what I wrote in Chinese,1
深怕,1
非美玉，故,1
不敢,1
加以,1
刻苦,1
琢磨,1
半信自己,1
美玉,1
，故,1
不肯,1
庸庸碌碌，,1
瓦研,1
伍。,1
于是,1
渐渐地,1
脱离,1
凡尘,1
，疏远世人，,1
结果,2
便是,1
愤懑,1
羞恨,1
日益,1
助长,1
内心,1
怯弱,1
自尊心,1
长吗,1
看起来,1
这些,1
过去,1
两年,1
一圈,1
大家,1
评测,1
知道,1
原来,1
篝火,1
流速,1
不同,1
。。,1
很快,1
还以为,1
坏掉,1
开开,1
关关,1
重启,1
好几遍,1
哲思,2
代表,2
角色,1
移动,1
速度,1
强行,1
玩家,2
思考,1
深邃,1
自身,1
阅历,1
。不错,1
文艺,1
作品,2
作为,1
不合格,1
推荐,1
大把,1
闲工夫,1
看看,2
电子,1
桌面,1
宠物,1
价格,1
的确,1
不错,1
适合,1
静下心,1
不是,2
纯纯,1
恶心,1
内容,2
随机,1
好像,1
只有,1
固定,1
几条,1
路，,1
欲望,1
运行,1
06.03.2020 ,1
再次,1
19.03.2023,1
今天,1
无意中,1
想起来,1
进去,1
看到,1
终于,1
想到,2
口罩,1
三年多,1
我们,4
何尝,1
那个,1
失去,1
错过,1
三年,1
时光,1
对于,1
普通,1
百姓,1
而言,1
珍贵,1
那么多,1
心眼,1
爱国,1
同时,1
希望,1
开心,1
健康,1
活着,1
期望,1
所有,1
喜欢,3
第九,1
艺术,1
朋友们,1
成为,1
ZZ,1
牺牲品,1
永远,1
幸福,1
二周目,1
开启,1
方法,1
通关,1
一直,1
屏幕,1
直到,1
字幕,2
消失,1
再次出现,1
“ 世事一场大梦 ,1
人生,2
几度,1
秋凉 ”,1
spoiler,2
梦见,1
变成,1
国王,1
真是,2
一场,1
美梦,1
” ,1
一个多月以前,1
匆匆,1
读书,1
睡觉,1
游手好闲,1
温暖,1
家里,1
四百天,1
转瞬即逝,1
扇门,1
一天,1
钟乳石,1
掉下来,1
周，,1
滴水成池,1
一月,1
与其,1
特色,1
不如,1
也是,1
如此吧。衣角,1
时代,1
车轮,1
跌跌撞撞,1
青金石,1
点燃,1
后悔药,1
最终,1
死亡,1
接触,1
瓦尔特·莫尔斯,1
查莫宁,1
系列,1
一查,1
制作,1
果然,1
德国,1
非常,2
德式黑童话。,1
从来没有,1
想过,1
这么,1
捡垃圾,1
雖然,1
走路,1
，適,1
合一,1
其他,1
事情,1
一邊,1
