word,count
可以,35
到处,1
拾荒,1
整整,1
一個,4
奉獻給,1
巫師,13
喝勝,1
不错,26
经典,9
值得,14
长期,1
拥有,4
很耐玩,1
排得,1
RPG,20
这么,8
死妈,1
动作,3
战斗,22
系统,17
真是,4
少见,1
二周目,9
通关,12
人物,14
最终,2
91,1
酒开,1
突变,2
选择,19
刺骨,1
穿狮,1
除了,6
牌全,1
任务,25
达成,2
最后,14
美满,1
结局,19
画面,10
追下,1
更加,4
完善,3
促使,1
动力,2
欧美,1
巅峰,3
之作,10
绝对,5
一试,2
非常,44
一款,10
昆特,18
玩法,9
其他,9
满意,1
盗版,4
过来,1
补票,4
认认真真,1
一遍,3
竟然,2
昆塔牌,1
正版,2
风灵,1
大神,1
主打,2
剧情,94
希望,8
还会,1
一部,3
以前,3
玩过,6
印象,3
深刻,5
这次,2
补个,2
车票,1
回味,1
一次,10
引人入胜,5
沉浸,10
感极强,2
极其丰富,1
不输,1
荒野,1
镖客,2
大作,5
完事,2
所有,8
有意思,5
马不停蹄,1
一晃,1
下午,3
过去,2
真的,36
特丽丝,1
但是,26
也好,3
爱叶奈法,1
女儿,5
希里,12
炮友,1
凯拉,1
导致,3
无法,4
好玩,72
好久,1
斷斷,1
續續,1
這麼,1
久終,1
通關,1
DLC,12
评论,7
满分,3
只是,11
为了,5
游玩,7
以后,13
时间,7
慢慢,8
欣赏,1
态度,3
神作,26
尼玛,2
速冲,1
每天,1
下班,1
之后,10
不亦乐乎,1
真心,1
开始,15
容易,3
进去,2
新手村,1
也许,2
落伍,1
故事,13
一直,9
精彩,5
nb,4
确实,6
666,5
like,1
this,2
game,4
good,8
中世纪,4
奇幻,4
世界,35
黄赌毒,1
真是太,2
浪漫,2
设计,4
精妙,1
喜欢,27
休闲,2
令人,6
上瘾,2
无数,1
细节,6
打动,1
非导体,1
泰裤,3
比较,4
有趣,5
这种,8
风格,6
点赞,1
不会,15
影响,6
整点,1
买个,1
玩完,4
陪伴,1
洛特,27
一生,3
感觉,24
看着,2
征伐,1
自己,19
庄园,1
白天,1
叶奈法,3
躺椅,1
晒太阳,1
晚上,2
独角兽,1
注视,1
心爱,1
女人,1
同床共枕,1
成功,1
摆脱,2
狂猎,1
权力,1
束缚,2
自由,2
广阔,1
天地间,1
旅行,1
冒险,6
童话般,3
城市,1
享受,4
生活,4
实在,3
没有,21
挑剔,1
时隔,1
三年,1
特意,1
内容,4
cdpr,3
成名,2
适合,5
每个,8
官方,3
对待,1
职业,1
国人,1
玩家,14
堪忧,1
落后,1
糟糕,1
难以,1
开放式,2
斩妖,1
除魔,1
罐头,1
当时,5
十分,3
美味,1
一大堆,1
支线,17
角色,7
性格,3
塑造,1
主线,20
关键,1
记录下来,1
作为,3
小说,2
比买,1
更好,4
一些,5
完整,5
设定,2
人生,5
经历,5
虽然,8
通过,1
获得,2
不同,5
体验,23
本人,2
书籍,1
一定,11
听听,1
The,2
Wolven,1
Storm,1
首歌,1
太棒了,2
结束,5
不停,1
卡死,1
至极,1
不想,3
成为,3
这般,1
男人,1
完全,4
跟着,1
主角,7
白狼,3
一起,1
史诗,4
般的,4
道路,2
推荐,8
dlc,4
便宜,3
限时,2
原价,2
制作,1
精良,1
一周,7
目是,1
无情,1
打桩机,3
三人,1
探戈,1
HAO,2
mlgb,1
tm,2
代入,10
以至于,1
已经,8
怎么,13
回答,2
问号,3
逛街,2
路上,2
随机,2
遭遇,2
要是,2
触发,1
标记,1
出来,2
愉快,1
现在,15
没出,1
威伦,2
...,8
方面,6
感谢,1
自动,2
瞄准,1
流点,1
一段时间,2
熟悉,2
手感,4
轻松,1
上手,2
无脑,3
xy,1
闪避,2
法印,4
时常,1
叹一口气,1
娱乐,1
遊戲,14
不僅僅,1
一項,1
消磨,1
時間,1
娛樂,1
裡的,1
每個,2
勢力,1
塑造出,1
獨立,1
個性,1
他們,2
價值觀,1
生長,1
背景,3
不再,3
永遠,1
正義的,2
一方,1
上帝,1
視角,1
看清,1
事情,6
原委,1
之間,2
碰撞,1
對大義的,1
理解,3
我們,2
深思,1
是否,1
世上,2
沒有,3
只有,5
很壞,1
情況,1
一段,5
支線,2
一處,1
選項,2
躊躇,1
10,5
分鐘,1
決定,2
離開,1
座位,1
小酌,1
幾口,1
並讓,1
冷靜,1
下來,1
當然,1
選擇,2
讀檔,2
並看,1
的後續,1
發展,1
當下,1
氛圍,2
驅使,1
設身,1
立場,2
思考,2
試著,1
那個,1
時代,1
做出,7
客觀,1
抉擇,2
莫半小時,1
免強,1
這類,1
中不勝枚舉,1
當使,1
正視,1
藝術,1
價值,2
哲學,1
它們,1
細節,2
程度,1
確實,1
不亞,1
文學,1
作品,10
啊啊啊,2
真美,1
不是,8
类型,3
代表,1
不行,4
库里,2
说不定,1
哪天,1
心态,2
不能,5
做好,1
优化,9
老是,3
刚刚,1
崩溃,4
上线,1
发现,7
70,2
几个,3
小时,23
档全,1
rnm,2
解说,1
视频,1
为什么,6
rtx4070,1
dx12,1
检查,2
steam,2
完整性,2
只能,11
dx11,1
先說,1
本身,6
整體,3
缺陷,2
少量,1
BUG,5
影響,2
極少數,1
惡性,1
偶爾出,1
嚇嚇,1
例如,2
無限載,1
錯位,1
卡住,2
道具,1
消失,1
突然,1
無法,1
使用,2
等等,2
些小,1
不住,1
優秀,3
大量,2
現力,1
怪物,2
敵人,1
歷跟動機,1
不單,1
阻礙,1
存在,5
歷史,1
文化背景,1
上下,1
工夫,1
這虛構,1
一切,2
極具,1
服力,1
信以,1
相當,1
了不起,2
雖然,2
模型,1
演出,1
尚可,1
時代來,1
經足夠,2
唯一,2
可惜,3
部分,4
區域,1
內容,1
稍嫌,1
空洞,1
有些,10
任務,3
甚至,12
會有,2
重疊,1
體驗,1
煉金,1
方便,1
嘗試,1
不然,2
看到,8
一堆,3
素材,1
蒐集,1
經嚇,1
無關,1
翻譯,2
錯字,1
很多,7
沒幾個,1
類似,1
塑度,1
速度,1
之類,1
錯誤,1
正在,2
人會,1
格外,1
出戲,1
這是,2
改善,2
問題,2
應該,1
不難,1
優化,1
普通,1
停頓,1
過度,1
載入,2
性能,1
表現,2
平平,1
有技術,1
更新,16
還算,1
佛心,2
唯獨,1
改版,1
導入,1
解析度,1
貼圖,1
硬體,1
需求,1
動作,1
HDD,1
傳統,1
硬碟,2
不太,1
友好,1
小卡頓,1
SDD,1
固態,1
取流,1
暢度,1
含光,1
顯示,1
卡想,1
全開,1
特效,1
建議,1
別省,1
直接,3
30xx,1
系列,4
以上,3
為佳,1
資金,1
測試,1
有待,1
他人,1
補完,1
第一款,3
接觸,1
CDPR,10
無疑,1
熱情,1
從遊戲,1
感受,10
波蘭蠢,1
堅持,1
信念,1
至於,1
現在,1
如何,2
評論,1
666666,1
very,2
perfect,1
ok,1
中文,8
配音,6
一战,1
其实,4
精彩绝伦,1
光怪陆离,1
一百多个,1
剩血,1
可能,12
还有,12
不尽人意,1
地方,2
身边,1
朋友,3
他们,5
受不了,1
巫师,52
认为,4
最大,2
优势,3
原著,1
庞大,3
世界观,2
加成,1
而且,4
不仅仅,2
一般,6
参与,1
而是,2
真真正正,1
一员,1
决定,2
后续,2
发展,2
联系,1
并且,1
其中,4
同样,1
两权,1
其害,1
取其轻,2
如此,2
艰难,1
知道,17
是不是,4
选对,1
因为,7
大部分,2
时候,19
办法,2
简单,3
定义,1
以为,2
扮演,3
拯救,2
英雄,1
后来,4
明白,3
总是,4
不过,9
那么,4
多名,1
猎魔,19
人中,1
叫杰,3
不得不,3
报错,6
恶心,3
23,1
05,1
01,1
最近,5
版本,11
bug,2
奇多,1
射箭,1
天空,1
下来,3
闪退,11
坐个,1
切换,1
界面,1
打开,7
分钟,3
平均,1
然后,3
那里,1
头疼,1
玩吐,1
太棒,1
画质,9
原神,2
一样,13
嘻嘻,1
归隐,1
山林,1
大伙,1
自由自在,1
awesome,1
经典之作,5
无需,3
溢美之词,1
走走,1
许多,2
难忘,2
名不虚传,3
心中,2
目前,3
业界,1
第一,2
别看,3
hhh,3
没换,1
电脑前,1
入库,1
电脑,3
一换,1
开干,1
慢热,1
前期,3
枯燥,1
耐心,1
牌才,1
本體,1
劇情,2
大放送,1
此生,2
必玩,3
建议,6
刺激,2
存档,5
进行,2
Steam,1
deck,1
稳个,1
40,1
挺不错,2
很棒,6
划时代,2
HAOWAN,3
神中神,2
中神,1
他妈的,3
次世代,7
4.02,2
敢情,1
这是,3
狂崩,1
几分钟,1
三牛,1
反正,4
2077,2
有人,2
DX11,1
进入,5
不了,6
多维,1
好似,1
完美,6
更上一层楼,1
波兰,6
世人,1
所知,1
一是,1
德国,2
闪击,1
h1,2
如同,3
一辈子,1
利维,2
短短的,1
充沛,1
各个,1
这款,3
一位,2
NPC,2
独具特色,1
淋漓尽致,1
仿佛,4
真正,2
意义,3
丰富,12
探险,1
养成,1
流程,2
选项,3
以及,6
多重,1
带给,1
温馨,1
有时,3
开心,2
弗洛,1
迪米,1
附身,1
陪夏妮,1
参加,2
婚礼,1
搞笑,1
瞬间,1
石之心,4
厉害,2
感到,6
难过,1
本来,4
读档,2
那样,1
变得,2
回来,4
内心,1
玩成,1
死亡,1
酒馆,2
遇到,5
那一刻,1
欣慰,1
犹如,1
学生,1
成才,1
孩子,3
长大,1
个人爱好,1
特莉丝,5
我会,2
可爱,2
有点,11
格式化,1
无聊,5
精美,1
变换,1
心情,2
幽默感,1
特骚,1
有时候,3
正经,2
往往,2
带有,1
一丝,1
骚气,1
不怎么,1
60,1
记住,1
名字,1
个性,1
尤其,6
是杰,1
gai,1
英文,2
技术,1
很烂,1
难度,6
压力,1
当然,6
新手,3
装备,14
稍微,1
整理,4
轻轻松松,1
boss,1
之外,1
了解,2
各种,6
恶样,1
说实话,1
只用,1
昆仑,1
护盾,1
舒服,2
人性化,1
翻滚,1
无敌,3
相比,4
非常容易,1
至少,2
前面,2
那些,3
再说,2
风景,6
地区,1
独特,3
家乡,1
音乐,5
乡村,1
旅游,1
原本,1
地图,7
一片,2
区域,1
国度,1
美如画,1
鲜艳,1
骑士,1
穿着,1
黄金,1
铠甲,2
风度,1
女爵,1
殿下,1
我们,2
葡萄园,1
落叶归根,1
我能,1
早点,1
半辈子,1
真不知道,1
永远,2
刚刚开始,1
点头,1
学习,4
东西,5
666666666666666666,1
优秀,7
快拿起,1
银剑,2
骑上,1
萝卜,1
北至,1
凯尔,2
莫罕,2
南至,1
陶森特,3
广袤,1
土地,1
书写,1
传奇,3
這裡養,1
維尼,1
路過,1
摸摸,2
难得,1
杰作,1
购买,6
良心,5
出色,3
西方,1
3A,2
TM,2
赘述,1
