index,achievement_name,achievement_desc,achievement_percentage
1,The Game is Afoot,Resolved Keiko's dilemma.,85.8%,
2,Merciful,Made one enemy surrender.,82.0%,
3,Kick Flip,,81.4%,
4,The First Penguin,Stopped the bullying at Seiryo High School.,78.6%,
5,Skill Dabbler,Obtained 30 skills.,69.8%,
6,Trending Video,Completed Chapter 4.,64.7%,
7,Unexpected Guests,Completed Chapter 6.,60.5%,
8,All Are Punished,Completed Chapter 7.,60.4%,
9,TownGo Tourist,Completed 20 TownGo City Missions.,60.3%,
10,To Survive,Completed Chapter 8.,59.2%,
11,Lessons Taught,Completed Chapter 9.,57.5%,
12,On the Case,Cleared 10 Side Cases.,56.1%,
13,The Mole,Completed Chapter 11.,52.5%,
14,Scales of Justice,Completed Chapter 12.,51.3%,
15,The Cycle is Broken,Thank you for playing to the end!,48.7%,
16,TownGo Freshman,Completed ten TownGo School Missions.,48.6%,
17,Skill Pro,Obtained 100 skills.,47.3%,
18,Very Observant,Find ten targets in Observation Mode.,46.2%,
19,Everybody Can Change,Completed the investigation of the boxing gym.,35.2%,
20,Hop， Step， Rabbits,Completed the investigation of the dance club.,32.4%,
21,Receiving Signals,Find ten targets with the Detector.,32.3%,
22,Revenge of the Nerds,Completed the investigation of the robotics club.,30.1%,
23,Born to Ride,Completed the investigation of the biker gang.,29.9%,
24,Private Eye,Cleared 30 Side Cases.,27.6%,
25,High School Drama,,26.6%,
26,Irresistible Charm,,25.6%,
27,Eavesdropping,Find ten targets with the Noise Amp.,25.5%,
28,Who's a Good Boy?,Find ten targets with the dog.,23.5%,
29,What Goes Around,,23.1%,
30,Like Father， Like Son,,21.2%,
31,Out for Blood,,20.6%,
32,Cat & Mouse,,19.6%,
33,Such a Flirt,,16.8%,
34,Bad Fur Day,,16.6%,
35,Yagami Pro Skater,Get first place on the final course of the skateboard race.,15.6%,
36,Hopeless Romantic,,13.8%,
37,All's Fair in Love,,10.6%,
38,Elementary， My Dear,Cleared all Side Cases (not including DLC).,9.4%,
39,A Man Among Amons,,9.4%,
40,TownGo Casual,Completed 30 stores in TownGo's Shop Missions.,8.2%,
41,Escaping a Daydream,,7.5%,
42,Party Star,Clear all of the stages in Dice & Cube.,7.2%,
43,Skate or Die,Obtained all skateboards.,6.4%,
44,Skill Master,Obtained all skills.,6.3%,
45,No Blind Spots in Any Direction,Completed the final stage of Aircelios.,5.7%,
46,The Aviator,Won first place in every Grand Prix drone race.,4.7%,
47,Sweet Jams,Obtained all records.,3.4%,
48,The Gamer Life,Played every arcade game.,3.4%,
49,TownGo Senior,Completed all TownGo School Missions.,3.1%,
50,Legendary Detective,Beat the main story on the highest difficulty.,3.0%,
51,An Ounce of Prevention,Obtained all equipment.,2.8%,
52,TownGo Tour Guide,Completed all TownGo City Missions.,2.4%,
53,Suffer Like G Did,Obtained 50 pickups in Hama of the Dead.,2.3%,
54,TownGo Whale,Completed all of TownGo's Shop Missions.,2.3%,
55,TownGo Master,Achieved 100% completion of TownGo. Wow!,2.2%,
56,Master Detective,Obtained all achievements.,1.6%,
