steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561198366789792,76,6,3714,0,3714,2023-01-26 01:44:14,137692849,schinese,糟糕透了，有这钱建议拿去玩如龙0极12和如龙7，别花钱在这游戏上。糟糕的剧情像是被喂了shit一样难受，能不能别把一个加害者写成一个白莲花啊，哦第一次你无视可以说是无能为力，第二次等你有能力拯救受害者结果你还无能为力，甚至等人家死后还在法庭上面做伪证这不是纯纯找骂？········ 这个角色死了就死了，结果主角还一脸悲恸每隔一段时间就要喊上几句ta的名字，第一部主角身边比这个角色重要的人要多得多。老爹、前辈死了，他也没有跪地上嚎上半天，那个加害者一死，主角三句话不离ta，整个人的人设直接崩了，搞什么？一个陌生人比不上养育自己多年的老爹和照顾自己的前辈？完全不理解。;,2023-05-03 02:58:10,2023-05-03 02:58:10,False,0,0,0,0,True,False,False,True,,286,False,,
76561199416163948,9,1,3699,0,3699,2023-03-28 23:41:08,137683695,schinese,可以,2023-05-02 23:47:49,2023-05-02 23:47:49,True,0,0,0,0,True,False,False,True,,2,False,,
76561198301762981,57,6,460,460,377,2023-05-03 01:05:07,137676969,schinese,好!,2023-05-02 21:35:07,2023-05-02 21:35:07,True,0,0,0,0,True,False,False,True,,2,False,,
76561199149907480,49,4,604,604,604,2023-05-02 20:08:18,137675182,schinese,本身看过许多部木村拓哉的作品，十分上头。木村这次在本游戏中的精彩演绎实在是令人眼前一亮，同样地，也十分上头。,2023-05-02 20:57:34,2023-05-02 20:57:34,True,0,0,0,0,True,False,False,True,,54,False,,
76561198397440072,100,1,1402,12,1402,2023-05-02 03:33:26,137661179,schinese,非常优秀的作品，战斗很爽快但是一闪风格的蓄力攻击太强导致圆舞和流转风格几乎没怎么用过，算是一个缺点。比起前作系统和战斗等优化了很多，但是剧情确实比起前作差了一些，后期八神一直说着泽老师的问题有点站不住脚，感觉就是理念不坚定，这是我觉得剧情让我不舒服的一点。,2023-05-02 13:55:09,2023-05-02 13:55:09,True,1,0,0.523809552192687988,0,False,False,False,True,,128,False,,
76561198994518941,160,50,667,667,341,2023-05-02 23:08:57,137624633,schinese,好玩,2023-05-01 23:57:35,2023-05-01 23:57:35,True,0,0,0,0,False,False,False,True,,2,False,,
76561197969287401,269,93,5703,0,5703,2023-02-19 17:28:13,137614013,tchinese,故事跟內容比前作大了許多，主角的功夫也多了兩種，雖然拳擊系我覺得很難用，但新的流轉動作表現相當不錯。;;故事還是跟前作一樣，日劇感滿滿，張力表現也非常傑出，真的是買日劇送遊戲，支線副本也很有趣，可是支線太大，跟主線有一點稍微各自獨立，如果是跟我一樣支線全解後再回主線的玩法，常會忘記主線的一些細節，回到主線時會有一種剝離感，所以我建議校園支線可以破關後再回來解，雖然主線過完可能也不太想再進遊戲，但支線的劇情個人也覺得表現得很不錯，盡量不要錯過。,2023-05-01 20:33:43,2023-05-01 20:33:43,True,0,0,0,0,True,False,False,True,,223,False,,
76561197993181369,53,3,7589,3313,7589,2023-05-01 00:27:18,137600672,tchinese,錢給你快出新的,2023-05-01 14:57:15,2023-05-01 14:57:15,True,0,0,0,0,True,False,False,True,,7,False,,
76561198129725228,257,23,2997,2997,1157,2023-05-03 03:32:27,137593324,schinese,木村如龙，best如龙,2023-05-01 11:09:24,2023-05-01 11:09:24,True,3,0,0.545454561710357666,0,True,False,False,True,,11,False,,
76561198278536623,29,3,1624,1624,327,2023-05-03 00:09:32,137566190,schinese,看了主播玩了之后，需要补充一些细节，总之还是很好玩的啦！,2023-05-01 01:38:41,2023-05-01 01:38:41,True,0,0,0,0,True,False,False,True,,28,False,,
