word,count
糟糕,2
建议,4
如龙,150
12,2
花钱,1
剧情,336
像是,8
shit,1
一样,43
难受,6
不能,49
加害者,7
写成,2
白莲花,2
第一次,5
无视,2
可以,134
无能为力,2
第二次,3
能力,8
拯救,4
受害者,11
结果,32
甚至,34
人家,2
死后,1
法庭,10
上面,12
伪证,1
不是,51
纯纯,3
角色,39
主角,64
一脸,2
悲恸,1
每隔,1
一段时间,2
就要,8
几句,2
ta,4
名字,2
第一部,21
身边,3
重要,6
多得多,1
老爹,2
前辈,2
没有,101
地上,1
上半天,1
那个,24
一死,1
三句话,1
不离,1
整个,24
人设,3
直接,30
陌生人,1
比不上,3
养育,1
自己,77
多年,3
照顾,1
完全,31
理解,15
本身,21
看过,1
许多部,1
木村拓哉,34
作品,40
十分,22
上头,9
木村,18
这次,22
精彩,20
演绎,1
实在,16
令人,7
眼前一亮,2
同样,7
非常,73
优秀,30
战斗,158
爽快,9
但是,116
一闪,25
风格,87
蓄力,8
攻击,9
太强,1
导致,27
圆舞,24
流转,27
几乎,8
怎么,16
用过,1
算是,35
缺点,12
比起,30
前作,102
系统,80
优化,15
很多,90
确实,37
一些,49
后期,32
八神,226
一直,42
老师,164
问题,78
有点,52
站不住脚,4
感觉,69
理念,10
坚定,2
舒服,8
一点,22
好玩,73
故事,75
內容,5
比前,6
作大,1
許多,4
功夫,5
兩種,1
雖然,8
拳擊系,1
覺得,5
難用,1
轉動,1
作表現,1
相當,5
不錯,10
還是,10
跟前,6
作一樣,1
日劇,5
感滿滿,1
力表,1
傑出,1
真的,118
遊戲,12
支線,24
副本,1
有趣,30
可是,3
太大,2
主線,17
一點,3
稍微,6
各自,5
獨立,1
一樣,4
全解,1
回主線,1
玩法,60
常會,1
記主線,2
細節,1
回到,5
時會,1
一種,1
剝離感,1
所以,40
我建議,1
校園,9
破關,1
回來解,1
主線過,1
可能,41
不太想,1
進遊戲,1
劇情,39
覺得表現,1
盡量,1
不要,15
錯過,1
錢給,1
出新,1
best,2
主播,1
之后,31
需要,29
补充,2
细节,11
总之,5
我能,2
麻将馆,1
一整天,1
麻将,3
这作,33
可谓,7
系列,120
性能,8
最强,3
一人,1
身上,8
体会,2
秋山,2
一般,17
灵活,4
古村,1
邪恶,4
冴島,1
霸体,4
追踪,3
...,16
攻速,4
开局,1
致命,5
反击,8
黑岩,3
哪里,3
偷学,1
脸极,1
舞空,4
桑名学,1
过去,9
制作组,22
空白,2
三年,1
对策,1
证明,6
下功夫,1
打磨,6
引擎,18
很爽,10
PS4PC,1
两遍,1
上大,1
冲突,11
作为,47
法外,4
之法,1
受害人,1
不得,2
桑名,84
这么,21
乱来,1
设定,11
一代,56
时候,44
只是,25
变成,13
复读机,5
楠本,3
我们,18
知道,20
父母,2
基本,23
一句,12
杉浦,3
姐姐,1
前年,1
发售,2
预告片,1
大家,10
看到,25
遇见,1
某人,1
倒下,1
痛苦,17
表情,4
打出,7
野兽,1
先辈,1
弹幕,2
编剧,19
告诉,4
为什么,13
不过,31
高开低走,2
习惯,4
不知,1
是否,6
名越,7
原因,14
这时候,2
维新,6
海腾,4
dlc,12
前景,1
一片,1
大好,1
说真的,1
后半段,4
些许,4
不适,1
正如,3
所说,2
只会,6
这件,3
spoiler,48
最后,59
相马,24
坂东,2
被捕,1
江原,24
楠本玲子,5
自首,9
瞑目,2
法律,82
正义,100
得到,9
伸张,2
一切,8
完美,17
直到,5
御子,16
认定,1
霸凌,116
敏郎,5
角度,2
而言,10
依然,12
学生,46
受欢迎,1
教师,9
谋杀案,1
不幸,1
遇难者,1
充在,1
病床,1
13,4
元凶,1
逍遥法外,3
愧疚,3
之心,2
其他,36
致死,3
希望,47
讨回公道,4
于是,7
一个劲,1
接受,10
私刑,24
只顾,1
归咎,1
他们,37
受到,14
应有,2
制裁,13
从来,6
想过,1
敏郎们,1
柴们,1
应该,26
甚至于,1
手上,1
关键,5
证据,13
录音,1
庭下,1
会面,1
以此,3
我会,5
利用,4
翻案,1
耻辱柱,1
换取,2
重拾,2
信心,1
主动,2
上诉,2
帮助,9
案子,4
这是,8
合情合理,2
选择,16
居然,4
出来,35
删除,3
要挟,1
逼迫,1
承认,3
罪行,1
遭遇,3
不公,2
不法,1
放在心上,1
想着,2
也许,7
是因为,9
拖泽,1
下水,1
以及,34
作恶,2
源头,2
是不是,6
双标,1
因为,55
霸凌者,21
已经,33
承担,3
谴责,1
这种,41
给敏郎,1
收拾,1
烂摊子,1
对比,13
第一,9
反应,4
包血,1
祭坛,1
篇章,2
类似,6
桥段,2
恶行,2
阳企山,1
木铁影,1
瞎子,1
吴勇,1
包拯,2
尊敬,1
应钧,1
一个个,4
死状,1
凄惨,1
展俊,1
遭受,1
无妄之灾,1
仡族,2
遗址,1
发现,11
做到,7
处刑,1
蒙放,1
常雨,1
伏法,1
同时,30
公开,1
灭绝,1
真相,30
这才,3
真正,12
维护,2
完善,15
一定,27
慢慢,3
过程,14
楠本玲子们,1
活该,2
承受,2
白发人,1
黑发人,1
瘫痪,1
死亡,10
子女,2
眼睁睁,1
看着,6
仇人,1
任何,14
面前,6
逍遥,1
发生,7
少数,1
愿意,8
改变,4
不了,9
整体,28
态势,1
阻止不了,1
悲剧,1
重演,1
桑名们,1
出现,15
那句,5
守护,3
口号,2
仅仅,3
只能,36
马后炮,1
过来,3
丰富性,1
更强,2
主线,148
代入,9
没玩过,6
审判,166
之眼,62
听说,6
比较,52
打折,6
入手,14
153h,1
以下几点,1
四个,5
各有千秋,1
强力,9
闪避,8
拉满,2
群战,2
给力,1
伤害,17
炸裂,1
神中神,3
ex,3
模式,22
打满,1
一套,4
更是,16
逆天,2
数值,1
无敌,13
化劲,2
万物,1
可化,1
抓取,4
重摔,1
不俗,3
拔除,1
毒牙,1
各种,20
武器,6
面对,4
持械,1
敌人,18
首选,1
拳威,25
不必,1
版本,4
之子,1
单挑,7
王者,1
结合,3
精髓,2
化身为,1
白金之星,1
爆炸,4
三个,8
全如龙,1
最爽,1
一作,23
估计,8
之一,11
白金,7
难度,16
人性化,3
那么,36
只玩过,2
两作,6
首个,1
各类,2
支线,141
看得出来,1
用心,2
印象,11
深刻,18
有惠,1
比寿,1
女友,12
河童,1
四大,1
变态,5
加入,28
青春,78
群像,61
不错,40
舞蹈社,10
心头,2
除了,30
机器人,27
社做,1
零件,6
练习赛,1
刷钱,1
恶心,9
体验,42
主题,28
深度,18
校园,95
无论,3
国内外,1
讨论,11
影响,17
很大,10
想起,4
初中,2
同学,8
同班,1
人霸凌,2
明白,4
无助,1
滋味,1
对于,35
复仇,17
尤其,22
不到,3
保护,12
之下,3
无脑,6
复读,2
说实话,6
动机,8
理由,8
苍白无力,1
明明,11
更好,8
处理,11
方式,17
心路历程,1
瑕不掩瑜,6
属于,7
TOP,1
出走,1
续作,20
渺茫,2
毕竟,21
凑个,1
三部曲,1
也好,6
继续,13
哈哈,3
横山,6
si,3
tm,3
那烂活,1
真服了,1
ps4,1
两次,4
ps5,4
一次,16
之逝,58
pc,6
全面,7
升级,13
比之眼,1
薄弱,1
全篇,2
仍然,10
围绕,8
霸凌为,3
引线,1
逐步,3
推向,1
高潮,6
执着,3
sawa,1
程度,13
不亚于,1
久保,2
然而,17
丰富,46
可玩性,13
剧是,1
本体,11
不为过,2
填补,2
夜店,1
孱弱,1
大幅度,3
提升,19
两个,18
流派,5
渗透,1
评价,16
概念,1
更具,3
流畅性,1
街头,3
明雷,1
烦躁,2
而且,37
界面,2
挑战,6
相当于,9
斗技场,1
成熟,5
可惜,20
演员,2
负面影响,1
本人,5
不会,39
参演,2
到此为止,2
打造,3
框架,4
体系,2
用于,2
全新,2
说不定,3
h3,4
通關,2
資料,1
總時數,1
50,4
hrs,1
不含,1
DLC,24
難度,2
Hard,1
簡評,1
戰鬥系,1
統流,1
暢度,1
超多,1
刻劃,1
引人,3
入勝,3
相比,38
豐富,4
strike,10
用堂島,1
之龍,6
流氓,4
火爆,1
浪子,1
風格,7
不快,1
BOSS,5
QTE,11
他媽,2
垃圾,6
跑酷,2
隱匿,2
潛入,2
系統,3
加強,1
從人龍,2
開始,4
邁入,1
相較,1
歷代,3
這代戰,1
鬥系統,1
目前,11
推薦,8
的點,1
打架,11
再也,2
不卡手,1
不會,2
感受,13
敵人,1
防禦,1
石頭,1
煩悶,1
兩個,5
戰鬥,9
運用,1
各風格,1
combo,1
人龍,8
一場,1
分鐘,2
解決,2
事情,16
拖到,1
打半小時,1
戰鬥系統,1
暢快,2
不少,32
詬病,1
必須,4
極短且,1
不合理,3
時間,3
依序,1
按下,1
按鈕,2
按鍵裡,1
包含,3
類比搖桿,1
方向,4
部分,30
常常,3
因為類,1
比搖桿,1
過於靈敏,1
導致,3
失敗,3
緊急,1
時刻,1
所有,18
按紐,1
媽會,1
這麼,1
精準,1
搖下,1
香菇,1
一旦,7
基本上,6
直死,1
半殘,1
過劇情,1
才能,11
繼續,2
看戲,1
深入,4
往往,2
因為,9
整個,6
出戲,2
