index,achievement_name,achievement_desc,achievement_percentage
1,THANK YOU,Play the first chapter,88.6%,
2,MISSION ACCOMPLISHED,,87.8%,
3,SECRETS,,73.5%,
4,DEVIANT LOCATED,,70.8%,
5,WE ARE FREE,,70.3%,
6,RUN KARA RUN,,63.2%,
7,ESCAPE THE MANOR,,57.4%,
8,JERICHO'S HERO,,53.8%,
9,A SMILE ON HER FACE,,53.7%,
10,SHELTER,,53.4%,
11,KNOW YOUR PARTNER,,50.4%,
12,CONFESSION,,48.9%,
13,BLOODHOUND,,47.6%,
14,KINSHIP,,47.1%,
15,SAVE HANK,,47.0%,
16,SCORCHED EARTH,,46.7%,
17,NOTHING TO SEE HERE,,46.7%,
18,THREE AT JERICHO,,45.9%,
19,THIS IS MY STORY,,45.4%,
20,SELF-CONTROL,,44.5%,
21,DEFEND YOURSELF,,42.7%,
22,ONE OF US,,42.4%,
23,SEND A MESSAGE,,42.0%,
24,UNDEFEATED,,38.8%,
25,AN ARMY OF ME,,35.9%,
26,DOUBTS,,35.9%,
27,PARTNERS,,35.8%,
28,MY TURN TO DECIDE,,33.2%,
29,RUTHLESS,,27.6%,
30,STAND YOUR GROUND,,26.7%,
31,MORAL VICTORY,,23.4%,
32,CONFRONTATION,,22.1%,
33,HAPPY FAMILY,,19.7%,
34,LIBERATION,,19.5%,
35,SAFE HARBOR,,19.0%,
36,WHEN A PLAN COMES TOGETHER,,18.7%,
37,CATCH IT,,13.6%,
38,COMPLIANT,,11.2%,
39,PRIORITIES,,10.7%,
40,A GLIMPSE OF JERICHO,,10.1%,
41,BURN THE PLACE,,9.8%,
42,SURVIVORS,,8.4%,
43,ESCAPE DEATH,,7.6%,
44,JUST A MACHINE,,7.4%,
45,MISSION COMPLETE,,6.6%,
46,THESE ARE OUR STORIES,,4.2%,
47,BOOKWORM,,1.2%,
48,I'LL BE BACK,,1.1%,
