word,count
“别,1
不仅仅,21
虚拟,5
故事,147
我们,179
未来,89
。”,12
精彩,30
完整,12
叙述,6
，深层次,1
思考,89
做功,1
剧情,431
经得起,1
推敲,1
技术,9
手残党,4
值得,93
内容,17
远远,4
超出,4
自身,8
预期,3
体验,121
（￣,1
￣）,1
WE ARE LIVE！！！,1
心目,6
电影,196
互动式,30
巅峰.6,1
一年,2
一直,44
到处,2
办法,7
解决,15
不行,12
更新,10
驱动,12
，改,1
设置,6
怎么,35
最近,7
新电脑，,1
电脑,22
画面,53
精致,5
电影感,2
强烈,9
即使,20
习惯,4
玩游戏,12
其中,32
期待,17
很久,11
这次,5
升级,2
标准,2
就会,25
然后,24
不得不,18
退出,6
重新,25
不过,43
因为,91
很好玩,22
所以,52
隔壁,2
好玩,180
相當,1
觸動,1
人心,6
开始,58
最后,100
nb（沉思）,1
真正,64
第九,45
艺术,64
神作,92
界紹,1
小姐,9
會隨時間,1
進化,1
真是,22
第一次,47
感覺,4
遊戲內,1
所有,24
角色,65
非常,182
出色,9
事略,1
一點,1
以外,3
來說,1
不錯,1
一個,4
決定,4
一個章節,1
結果,4
改變,3
玩玩,3
革命,78
成功,35
卡菈,1
女孩,1
失望,6
本來,2
實在,1
時間,4
同時,2
好像,24
帶點,1
遺憾,1
經歷,1
劇情,11
有趣,9
因為,1
每次,22
最後,3
都是,63
只是,67
主角,72
早死,1
遲死,1
不死,1
分別,1
不能,62
倍速,3
這些,1
為了,1
未知,3
劇情點,1
沒有,5
這遊戲,4
本意,3
一次,61
半價,1
以上,6
不用,11
不差,1
看到,43
開發,1
心血,1
很不错,29
厉害,4
地方,25
在于,10
叙事,16
。卡拉线，康纳线，马库斯线，,1
三线,6
，毫不冲突,1
汇合,1
升华,3
主题,10
题材,11
其实,31
常见,3
探讨,11
我，机器人,1
强调,9
机器人,78
自我意识,4
，底特律变人，,1
一部分,10
也是,79
智械危机，,1
仿生,373
是否,47
拥有,40
独立,12
人格,6
权利,12
舆论,22
话题,8
生活度,1
很多,56
，人,6
之所以,5
为人,14
能力,20
作品,57
点赞,4
（神作，,1
当之无愧,7
通关,79
happy ending线，,1
取得,4
金灿灿,1
成就,21
一部,74
展现,10
艺术品,39
多条,1
选择,353
人物,58
描写,4
细腻,4
，众多,1
困难,5
道德,17
设计,28
细节,32
谨慎,2
界面,7
别具,1
风格,3
缺点,18
很明显,2
想要,37
解锁,20
结局,259
应该,51
各种,21
节点,8
加入,7
供从,1
此处,1
游玩,57
载入,4
不是,108
一章,7
两个,11
关键,3
使得,11
乏味,2
片段,7
重复,11
数遍,1
对于,31
这种,64
收集型,1
玩家,122
友好,6
可惜,13
这点,8
没有,137
精力,2
一遍,19
整个,29
还有,49
几种,2
发展,71
恐怕,3
只能,42
错过,6
或者,40
网上,9
别人,22
视频,11
而言,12
半价,8
方面,19
好，,7
价格,3
3A,3
名，,1
第一句,3
概括,1
中文,3
语音,2
不难,1
个人,35
感觉,114
深度,22
但是,165
选项,65
清楚,3
表达,16
每个,49
意思,14
同时,28
比较,31
片面,1
比如,19
这么多,8
居然,21
做到,9
快速,5
检查,4
异常,37
提到,2
无法,36
定位,2
现代,4
能做到,2
丢失,3
预警,2
），人大,1
部分,10
暴力,57
不可理喻,1
变态，,1
机器,46
一定,28
样子,7
中期,3
大量,6
篇幅,1
人类,345
虐待,3
按照,12
售价,1
换算,1
现实,35
生活,28
一辆,3
见到,6
多少,12
车子,1
而且,37
引入,2
集中营,7
俄罗斯,4
中国,10
刻板,4
印象,16
万人,3
死亡,11
地震,1
玩笑,1
建筑,1
抗震,1
等级,1
摆设,1
不成,1
境内,1
大裂谷？）,1
入侵,1
北极,3
细究,1
合理,14
反而,4
有很多,8
灵魂,15
发问,1
神游,1
遐想,1
绝对,28
细细,6
品尝,2
000,1
“智械危机”,1
领导,5
心动,2
康纳,114
可是,10
好喜欢,7
汉克,26
傲娇,2
大叔,1
。。。。,3
有没有,7
nb,11
挺好,11
过程,23
揪心,4
圆满,5
所有人,7
。。。,12
画质,27
很好,69
到位,7
特别,32
面部,3
表情,7
逼真,2
这块,2
杠杠,1
仿佛,17
十个小时,5
，代,8
入感,17
——,38
来自,31
小黑盒,22
用户,21
52961020,1
评价,32
推荐,67
支持,15
正版,2
作者,8
做出,58
更多,16
优秀,64
沉浸式,8
体验感,8
，NB,1
玩完,40
内心,22
触动,8
难以,21
描述,6
想说,4
生命,61
！ ,2
以下,7
无剧透,1
quantic dream,5
PS3,3
暴雨,9
配合,4
手柄,22
六轴,2
传感器,1
互动,38
一般般,2
当时,7
那个时代,1
可能,80
还算,2
奇，,1
现在,38
看来,14
那样,11
，聊胜于无吧。,1
主要,18
闲鱼,1
二手,1
PS,6
有问题,2
需要,55
摇晃,1
QTE,11
时候,121
出来,29
打完,17
后面,29
直接,24
冲着,1
独占,2
光盘,1
超凡双生,10
一百多,1
结果,34
几个月,2
背刺,3
PC,4
Steam，,1
有空,2
吧。,1
回底,1
特律，QTE,1
以及,40
对话,17
行动,3
味道,2
不同,86
，底,6
特律,13
各方面,3
更加,18
完善,4
之前,18
有些,30
本作,9
虽然,74
也有,16
一两处,1
流程,18
一些,49
为了,55
交代,1
草草,1
总体来说,3
无伤大雅。,1
新作,2
关于,15
QTE，,2
明显,8
4原封,1
不动,5
移植,4
过来,6
图标,1
鼠标,11
按住,2
旋转,3
经常,11
不知道,37
是不是,16
操作,52
不对,2
牛逼,37
一开始,20
以为,16
仅仅,8
感觉到,9
那种,12
复杂,15
conner my husband      ,1
制作,28
精良,7
TOT康纳,1
好可爱,2
TOT马斯克好帅TOT,1
引人深思,7
目前,25
见过,6
      花,1
60块,2
一场,34
充满,16
意义,19
内涵,4
并且,13
20个小时,1
50,4
电影院,2
看着,11
造势,2
票房,1
到底,22
什么样,22
才能,34
定义,7
为人，,1
情感,53
外形,4
必须,26
血有肉，,1
或许,28
知道,28
这款,56
他们,134
名字,6
律化身为,1
、变人。,1
       ,7
卡拉,56
三个人,2
ai,11
失去,12
一位,5
素未谋面,1
好友,3
遗憾,11
人生,50
除非,3
重来,11
其他,56
后悔,35
正确,12
方向,8
结束,22
打开,13
评论,9
原来,3
大家,15
完全,42
不一样,24
谢谢,5
卡拉。,2
下来,13
震撼,65
太好,5
配置,14
要求,10
还好,5
沉浸,21
不错，,3
！（,1
各位,3
看一下,2
自己,292
不符合,2
闪退,29
已经,55
感人,12
来说,35
带入感,5
之后,54
沉思,2
以后,22
8.5分,1
不错,49
12个小时,4
思维,8
还算得上,1
兄弟们,3
类似,4
good,15
全员,18
he好耶，,1
不好,4
！PS：,1
暴雨天,1
马库斯,135
地狱,1
一样,71
垃圾厂,1
，爱丽丝,8
震惊,2
唯一,24
每一次,12
抉择,41
整体,11
本身,20
叙事性,2
多种,5
支线,10
互相,8
影响,66
玩头,1
再加上,4
独特,6
视角,47
基于,12
开启,8
场景,30
还原,1
路线,54
构建,3
玩法,17
很容易,5
身临其境,9
三个,35
各自,3
承担,3
找到,7
自我,15
家人,11
相处,4
责任,5
交织,6
在一起,10
产生,33
多种多样,1
看待,5
发生,12
事情,12
问题,70
放到,1
今天,11
依旧,6
有意义,3
遵从,5
本心,3
获得,26
更好,10
感。,5
显卡,12
 白,1
时间,40
赞吧 ,1
毕竟,14
听说,4
好说,6
，神,2
神，,2
预计,1
11个小时,5
当然,20
每一个,34
章节,20
倒放,1
决定,63
类型,19
本来,12
不会,68
上手,5
适当,1
拉近,1
重要,15
一步,2
更好地,1
体会,17
开放,7
世界,35
这么,27
跑步,4
没关系,1
并不,15
称呼，,1
解谜,1
小伙伴,1
正如,5
所说,4
this is my story,1
由我,1
走向,40
尤其,11
控制,17
，身临其境，,2
切身,2
感受到,19
感受,31
两方,1
势力,2
犹豫,18
眼睛,4
感情,23
people,1
坚定,14
信念,2
主意,1
，当我决定,1
和平,76
战争,17
想起,3
共产党,1
历程,1
伤害,5
认识到,1
杆子,11
政权,8
任人,2
宰割，,1
最终,21
爆发,1
内战,1
环节,2
几次,7
失误,3
导致,38
任务,18
完成,17
不要,35
后来,11
更真实,1
单挑,1
中心,1
失败,14
更合理,1
暂时,10
其他人,5
感谢,9
淏钦。,1
哭了哭,1
底特律,87
接触,8
浓厚,1
兴趣,3
卡拉一家逃走，,1
愧疚,5
好久好久,1
里面,25
个性,1
鲜明,3
跌宕,3
起伏,4
之间,22
来回,1
切换,6
讲述,6
发达,2
时期,4
关系,14
面对,20
对应,3
就像,52
大概,5
重玩,3
几遍,2
发现,31
不管,13
除了,20
当初,6
之外,3
每个人,9
随机,1
固定,5
不不够,1
理想,17
属于,25
你自己,7
上百种,1
很谨慎,2
妥协,3
决策,8
一周目,37
剩下,5
安娜（,1
），,20
接吻,1
真人,10
复刻,1
不住,1
优化,23
通过,20
一次次,8
慎重,3
保住,2
心里,4
好难受,1
看出,4
人性,81
阴暗,2
一面,3
开头,5
，This is not just a game. This is our future,1
看完,10
任何,30
感动,25
也许,17
到时候,3
如何,28
处理,4
完美,52
最喜欢,13
wo奇世俗人,1
论如何,3
总会,2
牺牲。革命,1
有人,19
前仆后继,1
老套,4
新颖,4
模式,9
生动,6
众多,2
spoiler] 和平结局流程图,1
安全,4
讽刺,2
阶级,7
共产主义,1
实现,12
就是要,3
暴力革命，,2
资本家,3
永远不会,3
走下,1
历史,15
舞台,2
spoiler,36
引人,12
胜！,1
嘎嘎,3
好看,11
爱丽丝,57
冰天雪地,1
旋转木马,3
那个,15
镜头,6
久久,10
忘怀。,1
世界观,6
we are alive！,1
  ,143
惊险,1
刺激,10
任何人,2
那些,15
科技,21
大道理,1
关心,3
事，,3
我知道,1
生存,12
建立,7
一方,7
牺牲,41
之上,2
永久,1
从来,6
不存在,2
享受,8
幸存,4
安宁，,1
就是我,2
正在,5
事。,3
极其,5
富有,4
有着,18
无与伦比,4
音量,1
管控,1
一方面,15
极致,1
游戏性,18
可交互式,1
绝不会,1
因此,4
给予,13
负面,3
对待,7
态度,10
机会,7
分支,29
很喜欢,22
一件,12
，克洛伊,1
去找寻,1
变化,12
原因,15
可不可以,2
离开,8
第一,6
反应,9
想到,18
话，,4
三位,16
变成,15
动容,1
移动,8
点击,2
屏幕,4
心情,5
起伏，,1
第二天,1
回来,10
关闭,8
搜索,1
后续,10
第三次,1
，模控生命公司,1
送来,1
很遗憾,2
第二位,1
克洛伊,10
系统,14
指示，,1
一点,20
想念,1
第一位,3
存档,16
一起,16
消失,5
如同,6
壮观,1
史诗,3
程度,9
不可名状。,1
AI,21
市场,1
带来,26
危机,4
本能,2
贪婪,3
肮脏,1
，家,1
暴者,1
野蛮,2
无能,1
……,16
自由,74
矢志,1
追求,9
信仰,6
献身,2
无畏,1
混乱,5
找寻,2
不断决策,1
命运,19
共情,4
令人,22
平息,3
自责,3
开枪,6
打死,3
崔西,5
争取,17
游行,13
街头,1
覆灭,1
悲壮,1
高歌……,1
自是,1
精品,3
个别,1
报废,8
乱葬,1
岗）,1
较为,3
恶心,7
，易生理不适，,1
略不,1
综：,1
9.2,1
YYDS，,1
无敌,8
心灵,4
最高,5
代入,34
深刻,20
卡尔,9
作画,1
那里,5
希望,49
动作,12
一段,12
背景音乐,3
画，,1
666,10
 治,1
电子,7
阳痿,4
GOOD,4
画风,3
写实,1
丰富,29
流畅,9
取向式,1
激发,3
视点,1
呈现,5
自然,12
人和,14
冲突,17
转化,10
矛盾,22
心理,10
起来,20
代入感,47
先后,1
觉醒,36
算是,17
线索,1
两人,1
凯拉线,1
似乎,8
游离,1
主线,8
局限,2
于凯拉,1
家庭,6
群体,6
仍是,2
扩充,1
显赘余。,1
血，,2
作为,45
本人,13
冷酷,3
无情,4
康纳酱，,2
摆烂,1
大王,1
马库斯。,3
放走,8
温情,2
凯拉,2
一家,7
克洛伊 ,1
总是,13
下意识,1
康纳、凯拉、马库斯,1
熟知,1
当成,6
当作,7
工具,18
反映,6
叛乱,1
顺利,2
逃脱,3
寻找,6
耶利哥,16
大功,1
康纳，,10
击毙,2
；康纳,4
深厚,1
警官,3
大方向上,1
符合,10
细微,2
大势,2
意，,1
扼腕,1
全部,13
一千,1
一千个,7
哈姆雷特，,2
恰好,2
第一遍,7
达成,18
满意,6
，月,1
阴晴圆缺,1
抱憾,1
便是,2
必然,6
坦然,1
接受,8
不再,14
过问,1
向来,1
不喜,1
纠结,21
启迪,1
实属,1
佳作,6
  QTE,1
打架,1
！！！,26
强烈推荐,5
巨棒,1
书写,4
化身,5
耐心,2
下去,11
一般,13
。（,7
耐心，,1
做工,1
社会,33
。比如战争，失业，,1
生育率,1
下降,3
等等,9
机器人中,1
体现,12
温暖,3
亲情,7
爱情,6
理性,4
感性,5
反复,8
挣扎,7
感悟,3
了解,7
充盈,1
精神世界,2
满足,7
精神食粮,1
美術畫面,1
再現,1
樣是,1
劇情走向,1
沒話說。,1
一輪遊，,1
一樣，難,1
悔。,1
2060s,1
表示,2
方法,10
卡顿,3
重启,2
反倒,1
7850,1
行，,3
HAOHAOHAOHAOHAO,1
Connor！！！,1
光芒,1
照亮,1
向往,2
综合,1
来看,8
涉及,3
剧透,13
建议,33
自己去,1
庞大,3
逻辑,13
突兀,1
chatGPT,4
火，,2
实体,3
安卓,2
）？,1
超越,12
智慧,11
体能,1
思想,38
反抗,38
这些,43
面临,10
情况,13
图灵测试，（游戏,1
第一款,4
图灵测试,2
模拟,13
制造,5
成为,52
智能,11
AI，,2
形式,4
参加,1
方方面面,1
答案,9
相信,3
世界上,5
99%%,2
结合,4
当下,10
向远方,1
为什么,53
如此,18
有意义。,2
深受,2
康米主义,1
熏陶,1
年轻人,4
毫无疑问,5
认可,3
种族,9
（whatever）,1
努力,8
团结,5
一切,25
力量,8
人民,12
大团结,1
奋斗,1
一层,2
隐喻，,1
忽视,3
默默,1
脏乱活,1
人们,20
