index,achievement_name,achievement_desc,achievement_percentage
1,踌躇满志,将任意角色升至10级。,56.7%,
2,激情澎湃,在一场公共比赛中，在一项得分项中获得超过8000血点。,55.1%,
3,掌握窍门,首次提升勋级。,52.9%,
4,熟能生巧,将任意技能升至3级。,49.4%,
5,逃生宝藏,在一场公共比赛中，携带一件新物品，并成功逃脱。,48.4%,
6,斗志昂扬,将任意角色升至25级。,42.4%,
7,同生共死,在一场公共比赛中，至少有一扇出口大门打开时，解救一名同伴。,40.2%,
8,整装待发的逃生者,以全套逃生者装备配置开始一场公共比赛。,39.6%,
9,捷径逃生,,39.3%,
10,顽强生命力,在一场公共比赛中，大部分时间（多于50%）保持受伤状态，并成功逃脱。,37.4%,
11,染血富豪,累计获得100万血点。（完成前消耗血点不影响累计数量。）,35.3%,
12,痛苦逃生,,34.3%,
13,盛大献祭,在一场公共比赛中，完成4次献祭。,31.9%,
14,钢铁胆魄,在公共比赛中，累计成功检定500次。,31.6%,
15,守望相助,在公共比赛中，救助逃生者逃离死亡累计50次。,31.4%,
16,完美逃生,在一场公共比赛中，扮演逃生者，并在完成比赛时每个得分项均获得至少5000血点。,31.1%,
17,能工巧匠,在公共比赛中，完全修理一台发电机，累计100次。,30.4%,
18,完美杀戮,在一场公共比赛中，扮演杀手，并在完成比赛时每个得分项均获得至少5000血点。,27.5%,
19,偷天换日,在一场公共比赛中，携带由另一名玩家带入比赛的物品，并成功逃脱。,26.8%,
20,孤注一掷,在一场公共比赛中，扮演逃生者，携带一件超级稀有物品或附加品，并不使用保护结界。,26.4%,
21,I,将任意角色升至转生等级I。,25.6%,
22,整装待发的杀手,以全套杀手装备配置开始一场公共比赛。,24.3%,
23,工程师,在公共比赛中，修理被破坏的发电机，累计50次。每台发电机计一次。,23.5%,
24,电击疗法,在一场公共比赛中，在精神病房地图的二楼修理完成发电机，并成功逃脱。,22.0%,
25,先发制人,在一场公共比赛中，于任何发电机被完全修理前钩住1名逃生者。,21.9%,
26,全员登船,在一场公共比赛中，在苍白玫瑰地图的蒸汽船修理完成发电机来启动雾角，并成功逃脱。,21.8%,
27,救死扶伤,在公共比赛中，治疗其他逃生者，总计100层健康状态。,21.8%,
28,珍惜生命,在一场公共比赛中，在游戏地图的厕所修理完成发电机，并成功逃脱。,20.9%,
29,苦痛之屋,在一场公共比赛中，在兰普金街地图的迈尔斯之家修理完成发电机，并成功逃脱。,20.8%,
30,逃脱艺术,在一场公共比赛中，顺利逃脱钩子并成功逃脱。,20.4%,
31,擦身而过,在公共比赛中，闪避100次普通攻击或射弹。,20.3%,
32,难忘出逃,在一场公共比赛中，在奥蒙德山度假村地图的木屋修理完成发电机，并成功逃脱。,20.2%,
33,健康祭品,在公共比赛中，治疗其他被标记为血祭品的逃生者，累计10层健康状态。,20.2%,
34,II,将任意角色升至转生等级II。,20.2%,
35,小屋主人,在一场公共比赛中，在母亲的住所地图的小屋修理完成发电机，并成功逃脱。,20.0%,
36,东山再起,在至少有3名逃生者受伤、濒死或被钩住时，治疗其他逃生者，累计10层健康状态。,20.0%,
37,晕血症,在一场公共比赛中，在精神病房地图未损失任何生命值，并成功逃脱。,19.5%,
38,逃出魔掌,在一场公共比赛中，从地道中爬出。,19.3%,
39,先祖仪式,在一场公共比赛中，在家族宅邸地图修理完成发电机，并成功逃脱。,19.3%,
40,手染鲜血,,19.0%,
41,逃离梦魇,在公共比赛中，扮演逃生者并开启出口大门，累计35次。,18.7%,
42,坎贝尔教堂遗产,在一场公共比赛中，在坎贝尔神父的教堂地图的教堂修理完成发电机，并成功逃脱。,18.6%,
43,濒死体验,在公共比赛中，仅被击倒一次且在该场比赛中成功逃脱，累计25次。,18.1%,
44,III,将任意角色升至转生等级III。,18.0%,
45,蛙跳游戏,在公共比赛中，被追杀过程中翻越木板或窗户，累计200次。,17.9%,
46,逃出生天,在公共比赛中，成功逃脱，累计100次。,17.6%,
47,专家逃生者,逃生者勋级升至白银I。,17.6%,
48,旧西部绿洲,在一场公共比赛中，在死狗酒馆地图的酒馆修理完成发电机，并成功逃脱。,17.2%,
49,血祭之物,在一场公共比赛中，成为杀手的血祭品且未被命中一次，并作为最后的逃生者成功逃脱。,17.2%,
50,人道主义者,在公共比赛中对其他逃生者附加50次正面效果。,17.1%,
51,恶灵之噬,在公共比赛中，累计献祭100名逃生者。,17.1%,
52,竭尽所有,在公共比赛中，耗尽30件物品。,16.9%,
53,迷雾之礼,在一场公共比赛中，燃烧一件超级稀有祭品。,16.8%,
54,优雅举动,在一场公共比赛中，在米德维奇小学地图的音乐室或化学实验室修理完成发电机，并成功逃脱。,16.7%,
55,绝处逢生,在公共比赛中，被杀手搬运时通过扭动逃脱杀手的掌控，累计10次。,16.3%,
56,求生行动,在一场公共比赛中，在疗程教室地图的手术室修理完成发电机，并成功逃脱。,16.3%,
57,节日聚会,在一场公共比赛中，在地下室同时钩住至少3名逃生者。,16.3%,
58,残酷朝圣,在一场公共比赛中，在愤怒圣所地图的圣所上层修理完成发电机，并成功逃脱。,15.9%,
59,神龛圣器,在一场公共比赛中，在赎罪神庙地图的神庙修理完成发电机，并成功逃脱。,15.3%,
60,III-50,将任意角色升至转生等级III-50。,15.1%,
61,游戏结束,在公共比赛中，在最后一台发电机修理完成后，献祭或击杀累计30名逃生者。,14.1%,
62,欢乐假日,在血网中打开至少100件神秘盒子，（特定活动期间有效）。,14.0%,
63,德州烧烤,在公共比赛中，在地下室累计钩住25名逃生者。每场比赛每名逃生者计一次。,13.5%,
64,无私救助,在公共比赛中，治疗一位濒死状态的逃生者至受伤状态，累计30次。,13.4%,
65,摸宝先锋,在公共比赛中，解锁100个箱子。,13.2%,
66,恪尽职守,在公共比赛中，在最后一台发电机修理完成前献祭所有逃生者，累计15次。,13.2%,
67,连环杀手,在公共比赛中，献祭血祭品，累计30次。,12.8%,
68,金蝉脱壳,在公共比赛中，让杀手攻击落空，然后进行翻越动作，累计50次。,12.2%,
69,先下手为强,在公共比赛中，在竖起的木板旁击倒30名逃生者。,11.9%,
70,大师逃生者,逃生者勋级升至黄金I。,11.7%,
71,派对破坏者,在公共比赛中，在至少1名逃生者被钩住时破坏一台发电机，累计100次。,11.6%,
72,负伤医者,在公共比赛中，在你受伤时治疗其他逃生者，总计50层健康状态。,11.5%,
73,九死一生 ,在一场追杀中，从健康状态变为受伤状态并逃脱。在公共比赛中达成50次。 ,11.4%,
74,浣熊市新人,在一场公共比赛中，在浣熊市警察局地图的大厅一楼修理完成发电机，并成功逃脱。,11.1%,
75,末日将至,在公共比赛中的绝命终局阶段，钩住15名逃生者。,10.9%,
76,勃然大怒,在公共比赛中，在追杀过程中伤害一名扔下木板的逃生者，累计100次。,10.8%,
77,专家杀手,杀手勋级升至白银I。,10.5%,
78,飞向自由 ,在一场公共比赛中，在鹰巢修理完成发电机，并成功逃脱。 ,10.3%,
79,支离破碎,在公共比赛中，在其他3名逃生者均受伤时钩住一名逃生者，累计10次。,10.1%,
80,落井下石,在公共比赛中，利用木板击晕杀手后逃脱追杀，累计50次。,9.8%,
81,尽收眼底,在公共比赛中，击倒受到危险状态影响的逃生者，累计30次。,9.7%,
82,沉重负担,在公共比赛中，在搬运逃生者时，命中25名不同的逃生者。,9.4%,
83,牛奶加饼干,在至少30场不同的公共比赛中，从地下室的箱子中获得物品。,9.3%,
84,克劳黛特专家,在一场公共比赛中，扮演克劳黛特且仅使用其3项专属技能，并成功逃脱。,8.7%,
85,梅格专家,在一场公共比赛中，扮演梅格且仅使用其3项专属技能，并成功逃脱。,8.6%,
86,精神病院,在一场公共比赛中，至少一次使4位逃生者同时达到神经紊乱3级。,8.4%,
87,突然惊吓,在公共比赛中，扮演幽灵，突袭并命中逃生者累计100次。,8.4%,
88,求生之路,作为最后一名逃生者，修理完成最后一台发电机，并通过出口大门成功逃脱。,8.1%,
89,拆迁大队,在公共比赛中，破坏钩子，累计50次。,7.6%,
90,逃脱之钥,,7.3%,
91,没门儿！,在公共比赛中，关闭地道，累计30次。,7.3%,
92,传奇逃生者,逃生者勋级升至荧虹I。,7.2%,
93,大师杀手,杀手勋级升至黄金I。,6.6%,
94,面染鲜血,,6.5%,
95,无知者死,在公共比赛中，击倒受到浑然不觉状态影响的逃生者，累计15次。,6.5%,
96,口染鲜血,,6.3%,
97,保镖,在公共比赛中，在杀手搬运逃生者时承受一次保护攻击，累计30次。,6.2%,
98,逃出重叠区,在一场公共比赛中，修理极乐园主屋的发电机，并成功逃脱。,6.2%,
99,德怀特专家,在一场公共比赛中，扮演德怀特且仅使用其3项专属技能，并成功逃脱。,6.1%,
100,晕头转向,在公共比赛中，对逃生者施加浑然不觉状态30次。,5.9%,
101,杰克专家,在一场公共比赛中，扮演杰克且仅使用其3项专属技能，并成功逃脱。,5.6%,
102,雨露均沾,在一场公共比赛中，传送至你的鬼灵陷阱，并命中全部4名逃生者至少一次。,5.6%,
103,深度净化,在公共比赛中，净化100个厄咒图腾。,5.4%,
104,疯狂追击,在公共比赛中，扮演军团，并击倒受到深度伤口状态影响的25名不同逃生者。,5.4%,
105,徘徊者 ,在公共比赛中，使用杀手本能侦测到100名逃生者。,4.9%,
