steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length
76561198979378279,2,1,11160,72,11126,2023-05-01 06:08:55,137577178,schinese, 死,2023-05-01 04:51:48,2023-05-01 04:51:48,False,0,0,0,0,True,False,False,True,,2
76561199141643275,56,1,68559,2231,68559,2023-04-30 13:57:20,137574067,schinese,不推荐，理由dddd,2023-05-01 03:54:42,2023-05-01 03:54:42,False,0,0,0,0,True,False,False,True,,10
76561199159402579,19,1,3700,3700,3700,2023-05-01 02:38:58,137571321,schinese,三折买的，我是聪明逼（经此而已）;zzz我操你妈逼怎么做的游戏？傻逼玩意钢筋砍废了打击砍废了控机技能砍废了玩你妈呢？bbq都不加血点了我买巴布有啥用？钢筋都敢砍你妈是不是死的很惨啊？狗比玩意不会做游戏别他妈做还敢卖八十八你傻逼死妈玩意，新出的那个白骨女烧鸡什么逼玩意，是杀手一点压迫感没有技能还傻逼技能也傻逼做的你妈什么逼游戏？啊？傻逼玩意妈的威斯克都短成啥样了还你妈削呢？就他妈的不会做游戏别做，zzz别做游戏了搬砖去吧,2023-05-01 03:07:16,2023-05-01 03:24:51,False,0,0,0,0,True,False,False,True,,211
76561199232962469,24,1,10027,3329,10016,2023-05-01 05:43:26,137570318,schinese,很不错的游戏哈哈哈哈，我是个双边玩家强烈建议都去试试黄色肚兜男孩（bushi) 还有切记，如果一整局没见到屠夫，千万不用手欠去地下室一探究竟,2023-05-01 02:49:32,2023-05-01 02:49:32,True,0,0,0,0,True,False,False,True,,70
76561199077625065,3,1,5693,709,5579,2023-05-01 04:04:54,137566742,schinese,傻逼作者改你妈的钢筋我草泥马 你妈爆炸了  屠夫爽爆了 你妈死了 傻逼 草泥马 傻逼草泥马 傻逼 草泥马 7天不改回去你妈就爆炸,2023-05-01 01:47:50,2023-05-01 01:47:50,False,0,0,0,0,False,False,False,True,,64
76561199187456898,20,2,7486,0,7486,2023-02-07 15:29:49,137566015,schinese,我的评价是不如D5,2023-05-01 01:35:54,2023-05-01 01:35:54,False,0,0,0,0,True,False,False,True,,9
76561199180370875,54,7,848,848,848,2023-05-01 00:47:51,137563244,schinese,好玩，我是新手，希望多点有意思的联动,2023-05-01 00:48:15,2023-05-01 00:48:15,True,0,0,0,0,True,False,False,True,,18
76561199197731505,16,4,3241,700,3061,2023-05-01 05:44:52,137562745,schinese,并没有想象的那么糟糕，我虽然玩这个容易血压飙升，可是我快乐过,2023-05-01 00:40:11,2023-05-01 00:40:11,True,0,0,0,0,True,False,False,True,,30
76561199474669425,6,1,6257,1887,6257,2023-04-30 18:06:52,137561918,schinese,春季打折入手的，玩了没多久就迎来了zzz的大改动，现在看见的评价大多数都是差评，但我觉得挺不解的，你热爱一款游戏就不会因为各种原因而去辱骂这个游戏。大改动后我也玩的挺开心，上分快了，估计是因为厉害的大佬们都退了。当把自己喜欢的角色肝到1转时，总会感到开心，迫不及待的拿他开几把。花钱买的盐水，被削了但现在我还是几乎把把带他。不管怎样，那些来刷差评的人显然是没有真正打心底喜爱这个游戏的。,2023-05-01 00:26:16,2023-05-01 00:26:16,True,0,0,0.471092104911804199,0,True,False,False,True,,193
76561198256198191,49,3,50644,0,50644,2022-11-19 23:47:20,137561389,schinese,杀机自发布一来最烂、最屎的一次更新。,2023-05-01 00:17:02,2023-05-01 00:17:02,False,1,0,0.505617976188659668,0,False,False,False,True,,18
76561198416491916,9,3,1048,105,1003,2023-05-01 00:27:56,137559170,schinese,他妈的真好玩,2023-04-30 23:41:59,2023-04-30 23:41:59,True,0,0,0,0,False,False,False,True,,6
76561198364794861,34,2,60520,3740,60520,2023-04-30 23:29:23,137558632,schinese,游戏是个好游戏 就是zzz平衡做太垃圾了· 我感觉这游戏对新手不是很友好  16年的游戏了  树宝说1000小时才算玩明白这个游戏 我表示认可,2023-04-30 23:32:27,2023-04-30 23:32:27,True,0,0,0,0,True,False,False,True,,71
76561198868836893,26,1,724,724,652,2023-04-30 23:23:20,137555633,schinese,非常好玩，尤其是和朋友一起，更不错了,2023-04-30 22:40:52,2023-04-30 22:40:52,True,0,0,0,0,True,False,False,True,,18
76561199193697018,20,1,39916,26,39916,2023-04-30 22:28:52,137555291,schinese,这个游戏死了;没有博弈，全是公式化打法，玩游戏不就是追求结果的不稳定而产生快感，当你已经知道人类的公式就是马拉松，板皇，上钩，守尸，队友来救，这个游戏对我这个双边就没有意义了，同理，屠夫开局两台机，上钩的人必须守的时候，同样的，对我来说就没有意义了，游戏死了,2023-04-30 22:34:33,2023-04-30 22:34:33,False,3,0,0.548254609107971191,0,True,False,False,True,,129
76561199304333342,5,1,467,68,398,2023-05-01 00:27:55,137554971,schinese,多的就不说了  请立即冲,2023-04-30 22:28:28,2023-04-30 22:28:28,True,0,0,0,0,True,False,False,True,,12
76561199205221316,6,2,1445,1445,1426,2023-04-30 22:29:48,137553635,schinese,76561199205221316,2023-04-30 22:05:28,2023-04-30 22:05:28,False,0,0,0,0,True,False,False,True,,17
76561199199280781,1,1,32575,298,32451,2023-04-30 23:34:37,137552922,schinese,垃圾游戏，浪费我的时间,2023-04-30 21:53:13,2023-04-30 21:53:13,False,0,0,0,0,False,False,False,True,,11
76561199221219523,11,1,38997,388,38910,2023-04-30 23:10:23,137551311,schinese,我草你妈，你改回来吧，老子求你了傻逼，老子买你的技能你有什么权利削弱它们？？？？我测你们码,2023-04-30 21:24:01,2023-04-30 21:24:01,False,2,0,0.548022627830505371,0,True,False,False,True,,45
76561199479787744,5,1,6229,217,6229,2023-04-30 16:55:56,137550960,schinese,答辩游戏，dog都不玩,2023-04-30 21:17:25,2023-04-30 21:17:25,False,0,0,0,0,False,False,False,True,,11
76561199159842517,73,1,57480,417,57290,2023-04-30 23:41:26,137550188,schinese,建议修改成开局四个人随机抽号选取插死两个喂恶灵，这样屠夫也不用着急减员，省的没钢筋一条命被从头杀到死三台机剩俩人的烂局,2023-04-30 21:01:24,2023-04-30 21:01:24,False,0,0,0,0,True,False,False,True,,59
76561199373511583,39,29,340,334,340,2023-05-01 06:02:16,137549850,schinese,我是傻逼,2023-04-30 20:55:39,2023-04-30 20:55:39,True,0,0,0,0,False,False,False,True,,4
76561198864320437,296,19,20773,411,20773,2023-04-30 19:36:27,137546035,schinese,制作组不玩自己做的游戏实锤了,2023-04-30 19:37:47,2023-04-30 19:37:47,False,1,0,0.519230782985687256,0,True,False,False,True,,14
76561199332477992,46,6,2400,200,2400,2023-04-24 11:22:52,137545950,schinese,坤吧版本，在摆烂就真没人玩了，杀机主播都去玩第五人格了，不会改就不别改，往回改都行。以前只有一方骂现在双方都在骂,2023-04-30 19:36:15,2023-04-30 19:36:15,False,0,0,0,0,True,False,False,True,,56
76561198351240585,30,4,20950,472,20868,2023-04-30 22:31:25,137545743,schinese,依托史,2023-04-30 19:31:47,2023-04-30 19:31:47,False,0,0,0,0,True,False,False,True,,3
76561199500266698,3,1,228,228,195,2023-04-30 22:36:20,137543671,schinese,好玩,2023-04-30 18:46:22,2023-04-30 18:46:22,True,0,0,0.418250977993011475,0,True,False,False,True,,2
76561199135378517,27,3,8145,228,8145,2023-04-30 18:38:56,137543352,schinese,我们的游戏正在蒸蒸日上,2023-04-30 18:40:26,2023-04-30 18:40:26,False,2,1,0.548022627830505371,0,True,False,False,True,,11
76561198994443373,1,1,62979,2907,62792,2023-05-01 00:44:31,137542897,schinese,欢迎来操我，我在福建,2023-04-30 18:31:15,2023-04-30 18:31:15,True,2,0,0.5,0,True,False,False,True,,10
76561198132057838,63,9,34759,103,34737,2023-04-30 21:01:52,137541163,schinese,不管是人还是屠都不推荐玩，笑死。,2023-04-30 17:53:56,2023-04-30 17:53:56,False,1,0,0.51327437162399292,0,True,False,False,True,,16
76561199027843757,16,1,21561,1334,21561,2023-04-30 16:10:37,137540481,schinese,更新依托答辩,2023-04-30 17:37:16,2023-04-30 17:37:16,False,1,0,0.51327437162399292,0,True,False,False,True,,6
76561198966058755,17,1,2316,2316,2208,2023-04-30 21:23:04,137539389,schinese,111,2023-04-30 17:10:29,2023-04-30 17:10:29,True,0,0,0.476190477609634399,0,True,False,False,True,,3
76561199187343375,34,4,6309,1421,6309,2023-04-30 16:59:14,137539109,schinese,everyday I can have this situation: disconnected with the host. What's your fxxking problem? Go fk yourself, I just wanna have fun playing game no matter win or lose, not disconnecting with the host evey fking march!,2023-04-30 17:03:39,2023-04-30 17:03:39,False,0,0,0,0,True,False,False,True,,216
76561199249823644,4,1,624,431,196,2023-05-01 00:43:19,137537434,schinese,？,2023-04-30 16:23:49,2023-04-30 16:23:49,False,1,0,0.51327437162399292,0,True,False,False,True,,1
76561198275433918,91,4,23733,140,23703,2023-04-30 16:02:23,137536215,schinese,垃圾游戏,2023-04-30 15:51:10,2023-04-30 15:51:10,False,0,0,0,0,True,False,False,True,,4
76561199438747713,11,1,86487,8303,86152,2023-05-01 03:26:16,137535811,schinese,这届网友素质有待降低啊。李秋泓，记住这个畜生的名字，妄图凭借一己之力摧毁国内实体游戏产业，他要是活过这次网暴，在座的各位都有责任。,2023-04-30 15:39:35,2023-04-30 15:39:35,False,1,0,0.51327437162399292,0,True,False,False,True,,65
76561198865958036,41,8,2467,2467,2324,2023-04-30 19:40:27,137534931,schinese,这版本报玩,2023-04-30 15:15:09,2023-04-30 15:15:09,True,0,0,0,0,True,False,False,True,,5
76561198330367985,40,2,95953,0,95953,2022-11-28 21:29:40,137534905,schinese,平衡越来越垃圾，制作组能不能玩玩自己的游戏？做出来的平衡都是一坨屎，迟早没人玩。,2023-04-30 15:14:25,2023-04-30 15:14:25,False,0,0,0,0,True,False,False,True,,40
76561198401781176,43,1,202034,1300,201587,2023-05-01 06:10:38,137534834,schinese,这波更新属实NB，我以为制作组会回改，但面对众多骂声依旧实装，666,2023-04-30 15:12:53,2023-04-30 15:12:53,False,2,0,0.51754385232925415,0,True,False,False,True,,34
76561199002473759,6,2,3010,1069,2623,2023-04-30 22:06:23,137534463,schinese,不如第五人格,2023-04-30 15:02:10,2023-04-30 15:02:10,True,0,0,0,0,True,False,False,True,,6
76561198965522442,114,4,7649,799,7256,2023-04-30 22:53:49,137532908,schinese,很好 屠夫技能不用就可以给我吊起来打,2023-04-30 14:17:22,2023-04-30 14:17:22,False,1,0,0.482758611440658569,0,True,False,False,True,,18
76561199109107700,12,1,76086,4559,75780,2023-04-30 23:21:24,137532349,schinese,这游戏更新后不适合新手除非能接受失败至少人类玩了300时才有游戏体验。新手不要玩屠夫易嘲讽。,2023-04-30 14:01:09,2023-04-30 14:01:09,False,1,0,0.504504501819610596,0,True,False,False,True,,46
